"ind"	"isgene"	"semiquant_methfreq"	"count"
"P08H-3"	"ClassI_Tyrosine_Recombinase"	"no methylation"	3167
"P08H-3"	"LINE"	"high (>75%)"	3653
"P08H-3"	"LINE"	"intermediate (25-75%)"	11402
"P08H-3"	"LINE"	"low (<25%)"	7692
"P08H-3"	"LINE"	"no methylation"	38313
"P08H-3"	"LTR_retrotransposon"	"high (>75%)"	423
"P08H-3"	"LTR_retrotransposon"	"intermediate (25-75%)"	1611
"P08H-3"	"LTR_retrotransposon"	"low (<25%)"	1553
"P08H-3"	"LTR_retrotransposon"	"no methylation"	6804
"P08H-3"	"SINE"	"high (>75%)"	289
"P08H-3"	"SINE"	"intermediate (25-75%)"	1031
"P08H-3"	"SINE"	"low (<25%)"	2635
"P08H-3"	"SINE"	"no methylation"	3549
"Pec"	"ClassI_Helicase"	"high (>75%)"	2421
"Pec"	"ClassI_Helicase"	"intermediate (25-75%)"	1151
"Pec"	"ClassI_Helicase"	"low (<25%)"	1599
"Pec"	"ClassI_Helicase"	"no methylation"	3007
"Pec"	"ClassI_Transposase"	"high (>75%)"	15808
"Pec"	"ClassI_Transposase"	"intermediate (25-75%)"	6743
"Pec"	"ClassI_Transposase"	"low (<25%)"	19063
"Pec"	"ClassI_Transposase"	"no methylation"	46142
"Pec"	"ClassI_Tyrosine_Recombinase"	"high (>75%)"	599
"Pec"	"ClassI_Tyrosine_Recombinase"	"intermediate (25-75%)"	308
"Pec"	"ClassI_Tyrosine_Recombinase"	"low (<25%)"	329
"Pec"	"ClassI_Tyrosine_Recombinase"	"no methylation"	567
"Pec"	"LINE"	"high (>75%)"	8452
"Pec"	"LINE"	"intermediate (25-75%)"	4383
"Pec"	"LINE"	"low (<25%)"	18828
"Pec"	"LINE"	"no methylation"	32299
"Pec"	"LTR_retrotransposon"	"high (>75%)"	36687
"Pec"	"LTR_retrotransposon"	"intermediate (25-75%)"	12830
"Pec"	"LTR_retrotransposon"	"low (<25%)"	97780
"Pec"	"LTR_retrotransposon"	"no methylation"	344064
"Pec"	"SINE"	"high (>75%)"	565
"Pec"	"SINE"	"intermediate (25-75%)"	333
"Pec"	"SINE"	"low (<25%)"	3509
"Pec"	"SINE"	"no methylation"	5107
"R07B-5"	"ClassI_Helicase"	"high (>75%)"	2790
"R07B-5"	"ClassI_Helicase"	"intermediate (25-75%)"	1804
"R07B-5"	"ClassI_Helicase"	"low (<25%)"	4741
"R07B-5"	"ClassI_Helicase"	"no methylation"	7049
"R07B-5"	"ClassI_Transposase"	"high (>75%)"	23172
"R07B-5"	"ClassI_Transposase"	"intermediate (25-75%)"	14861
"R07B-5"	"ClassI_Transposase"	"low (<25%)"	63175
"R07B-5"	"ClassI_Transposase"	"no methylation"	132334
"R07B-5"	"ClassI_Tyrosine_Recombinase"	"high (>75%)"	495
"R07B-5"	"ClassI_Tyrosine_Recombinase"	"intermediate (25-75%)"	383
"R07B-5"	"ClassI_Tyrosine_Recombinase"	"low (<25%)"	1551
"R07B-5"	"ClassI_Tyrosine_Recombinase"	"no methylation"	847
"R07B-5"	"LINE"	"high (>75%)"	10741
"R07B-5"	"LINE"	"intermediate (25-75%)"	11391
"R07B-5"	"LINE"	"low (<25%)"	61461
"R07B-5"	"LINE"	"no methylation"	46032
"R07B-5"	"LTR_retrotransposon"	"high (>75%)"	2111
"R07B-5"	"LTR_retrotransposon"	"intermediate (25-75%)"	1568
"R07B-5"	"LTR_retrotransposon"	"low (<25%)"	11612
"R07B-5"	"LTR_retrotransposon"	"no methylation"	9546
"R07B-5"	"SINE"	"high (>75%)"	437
"R07B-5"	"SINE"	"intermediate (25-75%)"	241
"R07B-5"	"SINE"	"low (<25%)"	3513
"R07B-5"	"SINE"	"no methylation"	3758
