TIGR01958	PE_Scaf8449_0.8
TIGR02917	PE_Scaf10917_1.6
TIGR02917	PE_Scaf10917_1.6
TIGR02552	PE_Scaf10917_1.6
TIGR01691	PE_Scaf6526_0.4
TIGR00870	PE_Scaf9869_3.6
TIGR00870	PE_Scaf9869_3.6
TIGR00906	PE_Scaf3560_6.3
TIGR03810	PE_Scaf3560_6.3
TIGR00913	PE_Scaf3560_6.3
TIGR02345	PE_Scaf12611_0.9
TIGR01822	PE_Scaf4857_9.5
TIGR01822	PE_Scaf4857_9.5
TIGR00986	PE_Scaf9140_10.10
TIGR02168	PE_Scaf9349_0.9
TIGR02168	PE_Scaf9349_0.9
TIGR02168	PE_Scaf9349_0.9
TIGR02168	PE_Scaf9349_0.9
TIGR02252	PE_Scaf1003_1.6
TIGR03169	PE_Scaf4760_1.2
TIGR02203	PE_Scaf10219_1.6
TIGR00958	PE_Scaf7270_5.4
TIGR00958	PE_Scaf7270_5.4
TIGR00958	PE_Scaf7270_5.4
TIGR03797	PE_Scaf7270_5.4
TIGR03375	PE_Scaf7270_5.4
TIGR00954	PE_Scaf7270_5.4
TIGR00911	PE_Scaf11797_9.4
TIGR03896	PE_Scaf6333_0.6
TIGR03896	PE_Scaf6333_0.6
TIGR03896	PE_Scaf6333_0.6
TIGR02024	PE_Scaf9490_1.5
TIGR02521	PE_Scaf10521_1.4
TIGR02521	PE_Scaf10521_1.4
TIGR03903	PE_Scaf4970_6.3
TIGR03354	PE_Scaf4540_23.5
TIGR00599	PE_Scaf4540_23.5
TIGR00599	PE_Scaf4540_23.5
TIGR00599	PE_Scaf4540_23.5
TIGR00859	PE_Scaf3191_1.4
TIGR00859	PE_Scaf3191_1.4
TIGR00859	PE_Scaf3191_1.4
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR04026	PE_Scaf12379_5.0
TIGR01262	PE_Scaf2852_6.3
TIGR03903	PE_Scaf9962_8.3
TIGR00879	PE_Scaf11704_3.5
TIGR02729	PE_Scaf7206_4.4
TIGR00092	PE_Scaf7206_4.4
TIGR01068	PE_Scaf2179_0.1
TIGR00376	PE_Scaf9909_0.1
TIGR03903	PE_Scaf11359_3.6
TIGR01923	PE_Scaf12577_6.2
TIGR01923	PE_Scaf12577_6.2
TIGR00958	PE_Scaf7465_0.6
TIGR01426	PE_Scaf9241_4.9
TIGR01426	PE_Scaf9241_4.9
TIGR00892	PE_Scaf9218_0.8
TIGR00860	PE_Scaf493_1.15
TIGR00368	PE_Scaf444_7.4
TIGR00368	PE_Scaf444_7.4
TIGR00368	PE_Scaf444_7.4
TIGR04180	PE_Scaf10621_1.2
TIGR04180	PE_Scaf10621_1.2
TIGR01214	PE_Scaf10621_1.2
TIGR00457	PE_Scaf3149_3.3
TIGR01622	PE_Scaf9274_0.7
TIGR01628	PE_Scaf9274_0.7
TIGR01444	PE_Scaf10839_3.3
TIGR02605	PE_Scaf8950_13.2
TIGR02605	PE_Scaf8950_13.2
TIGR02605	PE_Scaf8950_13.2
TIGR02605	PE_Scaf8950_13.2
TIGR02605	PE_Scaf8950_13.2
TIGR02605	PE_Scaf8950_13.2
TIGR02605	PE_Scaf8950_13.2
TIGR02605	PE_Scaf8950_13.2
TIGR02605	PE_Scaf8950_13.2
TIGR02605	PE_Scaf8950_13.2
TIGR00622	PE_Scaf8950_13.2
TIGR00622	PE_Scaf8950_13.2
TIGR00622	PE_Scaf8950_13.2
TIGR00622	PE_Scaf8950_13.2
TIGR00622	PE_Scaf8950_13.2
TIGR00622	PE_Scaf8950_13.2
TIGR01967	PE_Scaf3611_0.2
TIGR01967	PE_Scaf3611_0.2
TIGR00892	PE_Scaf5752_0.3
TIGR00892	PE_Scaf5752_0.3
TIGR00838	PE_Scaf4399_1.4
TIGR03548	PE_Scaf639_7.8
TIGR03548	PE_Scaf639_7.8
TIGR03548	PE_Scaf639_7.8
TIGR02097	PE_Scaf5154_2.1
TIGR00037	PE_Scaf2534_2.2
TIGR00870	PE_Scaf6782_22.11
TIGR00870	PE_Scaf6782_22.11
TIGR00870	PE_Scaf6782_22.11
TIGR00859	PE_Scaf11904_0.3
TIGR02245	PE_Scaf2921_1.0
TIGR00010	PE_Scaf8469_10.5
TIGR02813	PE_Scaf12460_3.3
TIGR02813	PE_Scaf12460_3.3
TIGR02813	PE_Scaf12460_3.3
TIGR02813	PE_Scaf12460_3.3
TIGR02813	PE_Scaf12460_3.3
TIGR03150	PE_Scaf12460_3.3
TIGR01831	PE_Scaf12460_3.3
TIGR00068	PE_Scaf9099_2.2
TIGR03788	PE_Scaf2239_1.4
TIGR02350	PE_Scaf5778_15.31
TIGR00058	PE_Scaf7902_1.16
TIGR00071	PE_Scaf8416_18.7
TIGR02349	PE_Scaf1263_3.4
TIGR03696	PE_Scaf2808_4.6
TIGR01643	PE_Scaf2808_4.6
TIGR01643	PE_Scaf2808_4.6
TIGR01643	PE_Scaf2808_4.6
TIGR01643	PE_Scaf2808_4.6
TIGR01643	PE_Scaf2808_4.6
TIGR01643	PE_Scaf2808_4.6
TIGR01643	PE_Scaf2808_4.6
TIGR01643	PE_Scaf2808_4.6
TIGR01643	PE_Scaf2808_4.6
TIGR01643	PE_Scaf2808_4.6
TIGR01643	PE_Scaf2808_4.6
TIGR00193	PE_Scaf10005_6.5
TIGR00870	PE_Scaf10981_3.14
TIGR00870	PE_Scaf10981_3.14
TIGR00870	PE_Scaf10981_3.14
TIGR00860	PE_Scaf12265_4.2
TIGR00870	PE_Scaf11275_12.9
TIGR00870	PE_Scaf11275_12.9
TIGR00870	PE_Scaf11275_12.9
TIGR00870	PE_Scaf11275_12.9
TIGR00870	PE_Scaf11275_12.9
TIGR00870	PE_Scaf11275_12.9
TIGR00813	PE_Scaf11091_6.2
TIGR01628	PE_Scaf8593_1.10
TIGR01628	PE_Scaf8593_1.10
TIGR01642	PE_Scaf8593_1.10
TIGR01645	PE_Scaf8593_1.10
TIGR00892	PE_Scaf9869_11.9
TIGR00892	PE_Scaf9869_11.9
TIGR00152	PE_Scaf12648_1.4
TIGR00125	PE_Scaf12648_1.4
TIGR00125	PE_Scaf12648_1.4
TIGR01659	PE_Scaf5126_1.8
TIGR01659	PE_Scaf5126_1.8
TIGR03903	PE_Scaf1576_1.3
TIGR00614	PE_Scaf9245_2.6
TIGR00813	PE_Scaf8931_4.5
TIGR00813	PE_Scaf8931_4.5
TIGR03388	PE_Scaf5742_0.3
TIGR02168	PE_Scaf11797_18.7
TIGR02168	PE_Scaf11797_18.7
TIGR02168	PE_Scaf11797_18.7
TIGR02168	PE_Scaf11797_18.7
TIGR02168	PE_Scaf11797_18.7
TIGR02168	PE_Scaf11797_18.7
TIGR02168	PE_Scaf11797_18.7
TIGR02168	PE_Scaf11797_18.7
TIGR02168	PE_Scaf11797_18.7
TIGR02168	PE_Scaf11797_18.7
TIGR02168	PE_Scaf11797_18.7
TIGR02168	PE_Scaf11797_18.7
TIGR02168	PE_Scaf11797_18.7
TIGR02169	PE_Scaf11797_18.7
TIGR01525	PE_Scaf6589_3.4
TIGR00003	PE_Scaf6589_3.4
TIGR00003	PE_Scaf6589_3.4
TIGR00003	PE_Scaf6589_3.4
TIGR00003	PE_Scaf6589_3.4
TIGR00003	PE_Scaf6589_3.4
TIGR00003	PE_Scaf6589_3.4
TIGR00003	PE_Scaf6589_3.4
TIGR00376	PE_Scaf5063_0.8
TIGR00917	PE_Scaf4194_2.4
TIGR00917	PE_Scaf4194_2.4
TIGR00859	PE_Scaf3413_1.0
TIGR02169	PE_Scaf4304_5.6
TIGR02169	PE_Scaf4304_5.6
TIGR02169	PE_Scaf4304_5.6
TIGR02169	PE_Scaf4304_5.6
TIGR02168	PE_Scaf4304_5.6
TIGR03965	PE_Scaf3334_5.7
TIGR03965	PE_Scaf3334_5.7
TIGR03137	PE_Scaf11592_1.2
TIGR04242	PE_Scaf9217_0.14
TIGR04242	PE_Scaf9217_0.14
TIGR00892	PE_Scaf4278_0.3
TIGR00892	PE_Scaf4278_0.3
TIGR00892	PE_Scaf4278_0.3
TIGR02168	PE_Scaf3303_4.11
TIGR02923	PE_Scaf7756_6.4
TIGR00955	PE_Scaf9097_8.13
TIGR02323	PE_Scaf9097_8.13
TIGR00820	PE_Scaf3508_1.6
TIGR00820	PE_Scaf3508_1.6
TIGR00859	PE_Scaf5055_4.4
TIGR00930	PE_Scaf3919_1.1
TIGR02168	PE_Scaf8406_1.4
TIGR02168	PE_Scaf8406_1.4
TIGR02168	PE_Scaf8406_1.4
TIGR02644	PE_Scaf9736_5.6
TIGR01622	PE_Scaf7222_4.3
TIGR00870	PE_Scaf11161_0.2
TIGR00870	PE_Scaf10857_1.6
TIGR03903	PE_Scaf7318_1.10
TIGR00135	PE_Scaf4513_6.5
TIGR03789	PE_Scaf10657_2.4
TIGR04503	PE_Scaf2486_2.10
TIGR02168	PE_Scaf2192_2.7
TIGR02168	PE_Scaf2192_2.7
TIGR02168	PE_Scaf2192_2.7
TIGR02168	PE_Scaf2192_2.7
TIGR02168	PE_Scaf2192_2.7
TIGR00502	PE_Scaf8057_6.8
TIGR02072	PE_Scaf3889_2.2
TIGR02072	PE_Scaf3889_2.2
TIGR02469	PE_Scaf3889_2.2
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR01904	PE_Scaf6235_0.1
TIGR03508	PE_Scaf6235_0.1
TIGR03508	PE_Scaf6235_0.1
TIGR03508	PE_Scaf6235_0.1
TIGR02168	PE_Scaf4774_13.15
TIGR02168	PE_Scaf4774_13.15
TIGR03633	PE_Scaf12366_0.7
TIGR04336	PE_Scaf12359_2.6
TIGR03903	PE_Scaf10115_4.3
TIGR02168	PE_Scaf5658_0.5
TIGR02168	PE_Scaf5658_0.5
TIGR02168	PE_Scaf5658_0.5
TIGR02168	PE_Scaf5658_0.5
TIGR02168	PE_Scaf5658_0.5
TIGR02168	PE_Scaf5658_0.5
TIGR02168	PE_Scaf5658_0.5
TIGR02168	PE_Scaf5658_0.5
TIGR02168	PE_Scaf5658_0.5
TIGR02168	PE_Scaf5658_0.5
TIGR02168	PE_Scaf5658_0.5
TIGR02168	PE_Scaf5658_0.5
TIGR02169	PE_Scaf5658_0.5
TIGR02350	PE_Scaf1644_1.8
TIGR03903	PE_Scaf248_18.2
TIGR01735	PE_Scaf8439_6.2
TIGR00181	PE_Scaf7105_7.3
TIGR00181	PE_Scaf7105_7.3
TIGR03788	PE_Scaf7757_3.7
TIGR02067	PE_Scaf7021_4.4
TIGR00622	PE_Scaf11091_6.4
TIGR00622	PE_Scaf11091_6.4
TIGR00622	PE_Scaf11091_6.4
TIGR00622	PE_Scaf11091_6.4
TIGR00622	PE_Scaf11091_6.4
TIGR00622	PE_Scaf11091_6.4
TIGR00622	PE_Scaf11091_6.4
TIGR00622	PE_Scaf11091_6.4
TIGR00622	PE_Scaf11091_6.4
TIGR00813	PE_Scaf4922_0.4
TIGR03088	PE_Scaf2943_2.10
TIGR01622	PE_Scaf8593_1.7
TIGR01622	PE_Scaf8593_1.7
TIGR00272	PE_Scaf9539_22.7
TIGR00892	PE_Scaf9869_11.12
TIGR00892	PE_Scaf9869_11.12
TIGR00892	PE_Scaf9869_11.12
TIGR00892	PE_Scaf9869_11.12
TIGR00870	PE_Scaf12648_2.1
TIGR00870	PE_Scaf12648_2.1
TIGR00870	PE_Scaf12648_2.1
TIGR00870	PE_Scaf12648_2.1
TIGR00870	PE_Scaf12648_2.1
TIGR04211	PE_Scaf6459_3.8
TIGR04211	PE_Scaf6459_3.8
TIGR04211	PE_Scaf6459_3.8
TIGR00471	PE_Scaf11853_1.7
TIGR03162	PE_Scaf11853_1.7
TIGR03162	PE_Scaf11853_1.7
TIGR00813	PE_Scaf8931_5.0
TIGR00813	PE_Scaf8931_5.0
TIGR00841	PE_Scaf8083_1.11
TIGR02872	PE_Scaf12437_0.3
TIGR02872	PE_Scaf12437_0.3
TIGR02168	PE_Scaf7210_2.11
TIGR02152	PE_Scaf2890_4.4
TIGR02169	PE_Scaf1573_5.4
TIGR00870	PE_Scaf8250_2.5
TIGR00870	PE_Scaf8250_2.5
TIGR00870	PE_Scaf8250_2.5
TIGR00870	PE_Scaf8250_2.5
TIGR00870	PE_Scaf8250_2.5
TIGR03903	PE_Scaf10591_1.2
TIGR03903	PE_Scaf10591_1.2
TIGR00859	PE_Scaf633_0.3
TIGR00231	PE_Scaf8991_1.6
TIGR00860	PE_Scaf3362_0.2
TIGR02168	PE_Scaf4194_4.2
TIGR02168	PE_Scaf4194_4.2
TIGR00860	PE_Scaf10437_1.4
TIGR01622	PE_Scaf12192_3.6
TIGR01622	PE_Scaf12192_3.6
TIGR01628	PE_Scaf12192_3.6
TIGR01659	PE_Scaf12192_3.6
TIGR01645	PE_Scaf12192_3.6
TIGR03596	PE_Scaf4671_3.5
TIGR03596	PE_Scaf4671_3.5
TIGR03948	PE_Scaf11704_9.6
TIGR00231	PE_Scaf484_0.12
TIGR00376	PE_Scaf9276_0.18
TIGR00376	PE_Scaf9276_0.18
TIGR00376	PE_Scaf9276_0.18
TIGR01694	PE_Scaf1076_4.6
TIGR00990	PE_Scaf9829_19.13
TIGR00990	PE_Scaf9829_19.13
TIGR03531	PE_Scaf7756_6.6
TIGR00859	PE_Scaf5055_5.8
TIGR00392	PE_Scaf4282_11.42
TIGR00599	PE_Scaf3900_0.4
TIGR03548	PE_Scaf2440_10.6
TIGR03548	PE_Scaf2440_10.6
TIGR03548	PE_Scaf2440_10.6
TIGR00957	PE_Scaf4449_5.5
TIGR03594	PE_Scaf1234_1.11
TIGR03594	PE_Scaf1234_1.11
TIGR03594	PE_Scaf1234_1.11
TIGR00389	PE_Scaf5652_0.8
TIGR00658	PE_Scaf11627_0.11
TIGR03903	PE_Scaf3315_3.12
TIGR02350	PE_Scaf6534_1.6
TIGR02529	PE_Scaf6534_1.6
TIGR02639	PE_Scaf2308_1.3
TIGR00653	PE_Scaf307_6.0
TIGR00653	PE_Scaf307_6.0
TIGR00970	PE_Scaf2342_0.0
TIGR00970	PE_Scaf2342_0.0
TIGR00970	PE_Scaf2342_0.0
TIGR00970	PE_Scaf2342_0.0
TIGR00970	PE_Scaf2342_0.0
TIGR00970	PE_Scaf2342_0.0
TIGR00970	PE_Scaf2342_0.0
TIGR04123	PE_Scaf2342_0.0
TIGR04123	PE_Scaf2342_0.0
TIGR00376	PE_Scaf44_0.20
TIGR01999	PE_Scaf9117_5.0
TIGR01011	PE_Scaf8642_0.6
TIGR01011	PE_Scaf8642_0.6
TIGR02352	PE_Scaf7170_5.13
TIGR02352	PE_Scaf7170_5.13
TIGR02352	PE_Scaf7170_5.13
TIGR02045	PE_Scaf9658_0.4
TIGR02350	PE_Scaf1644_1.7
TIGR02168	PE_Scaf248_20.5
TIGR02168	PE_Scaf248_20.5
TIGR02168	PE_Scaf248_20.5
TIGR02168	PE_Scaf248_20.5
TIGR00197	PE_Scaf7105_7.0
TIGR00197	PE_Scaf7105_7.0
TIGR00197	PE_Scaf7105_7.0
TIGR00197	PE_Scaf7105_7.0
TIGR00197	PE_Scaf7105_7.0
TIGR00197	PE_Scaf7105_7.0
TIGR03812	PE_Scaf8106_4.5
TIGR01241	PE_Scaf7021_4.5
TIGR00414	PE_Scaf9995_3.11
TIGR00414	PE_Scaf9995_3.11
TIGR00622	PE_Scaf4922_0.5
TIGR00622	PE_Scaf4922_0.5
TIGR00622	PE_Scaf4922_0.5
TIGR00622	PE_Scaf4922_0.5
TIGR00622	PE_Scaf4922_0.5
TIGR00622	PE_Scaf4922_0.5
TIGR00622	PE_Scaf4922_0.5
TIGR00622	PE_Scaf4922_0.5
TIGR00622	PE_Scaf4922_0.5
TIGR03903	PE_Scaf5805_0.9
TIGR00859	PE_Scaf11900_2.4
TIGR04345	PE_Scaf3560_14.6
TIGR04345	PE_Scaf3560_14.6
TIGR01983	PE_Scaf3560_14.6
TIGR03903	PE_Scaf1441_0.4
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR02605	PE_Scaf10482_0.1
TIGR00813	PE_Scaf8931_6.3
TIGR01179	PE_Scaf10410_3.4
TIGR01140	PE_Scaf7210_2.10
TIGR01140	PE_Scaf7210_2.10
TIGR01780	PE_Scaf1132_4.10
TIGR03173	PE_Scaf10139_1.0
TIGR03173	PE_Scaf10139_1.0
TIGR00058	PE_Scaf800_2.3
TIGR01832	PE_Scaf1573_6.2
TIGR01622	PE_Scaf9608_1.1
TIGR02082	PE_Scaf12088_5.9
TIGR00870	PE_Scaf10591_2.3
TIGR00870	PE_Scaf10591_2.3
TIGR00870	PE_Scaf10591_2.3
TIGR00635	PE_Scaf8991_2.5
TIGR00635	PE_Scaf8991_2.5
TIGR00635	PE_Scaf8991_2.5
TIGR02397	PE_Scaf8991_2.5
TIGR02397	PE_Scaf8991_2.5
TIGR02397	PE_Scaf8991_2.5
TIGR02281	PE_Scaf8351_1.10
TIGR00860	PE_Scaf10437_2.7
TIGR00859	PE_Scaf3413_1.3
TIGR02390	PE_Scaf9907_2.3
TIGR02390	PE_Scaf9907_2.3
TIGR02386	PE_Scaf9907_2.3
TIGR02386	PE_Scaf9907_2.3
TIGR02386	PE_Scaf9907_2.3
TIGR02389	PE_Scaf9907_2.3
TIGR04026	PE_Scaf8752_0.0
TIGR04026	PE_Scaf8752_0.0
TIGR04026	PE_Scaf8752_0.0
TIGR04026	PE_Scaf8752_0.0
TIGR04026	PE_Scaf8752_0.0
TIGR04026	PE_Scaf8752_0.0
TIGR04026	PE_Scaf8752_0.0
TIGR04026	PE_Scaf8752_0.0
TIGR04026	PE_Scaf8752_0.0
TIGR04026	PE_Scaf8752_0.0
TIGR04026	PE_Scaf8752_0.0
TIGR00392	PE_Scaf9308_2.9
TIGR00422	PE_Scaf9308_2.9
TIGR00514	PE_Scaf4936_1.10
TIGR02712	PE_Scaf4936_1.10
TIGR00109	PE_Scaf1076_4.4
TIGR00868	PE_Scaf9532_0.3
TIGR02716	PE_Scaf9829_19.14
TIGR02716	PE_Scaf9829_19.14
TIGR02917	PE_Scaf4962_3.5
TIGR02917	PE_Scaf4962_3.5
TIGR02917	PE_Scaf4962_3.5
TIGR03531	PE_Scaf7756_6.19
TIGR00917	PE_Scaf23_0.2
TIGR00917	PE_Scaf23_0.2
TIGR01628	PE_Scaf9097_8.12
TIGR01628	PE_Scaf9097_8.12
TIGR01648	PE_Scaf9097_8.12
TIGR01930	PE_Scaf3644_2.9
TIGR01930	PE_Scaf3644_2.9
TIGR01930	PE_Scaf3644_2.9
TIGR01930	PE_Scaf3644_2.9
TIGR01930	PE_Scaf3644_2.9
TIGR01930	PE_Scaf3644_2.9
TIGR01930	PE_Scaf3644_2.9
TIGR01930	PE_Scaf3644_2.9
TIGR01930	PE_Scaf3644_2.9
TIGR01930	PE_Scaf3644_2.9
TIGR01930	PE_Scaf3644_2.9
TIGR02446	PE_Scaf3644_2.9
TIGR03381	PE_Scaf147_1.2
TIGR00309	PE_Scaf8406_2.17
TIGR02917	PE_Scaf12202_2.5
TIGR02917	PE_Scaf12202_2.5
TIGR02651	PE_Scaf9736_6.8
TIGR02651	PE_Scaf9736_6.8
TIGR02651	PE_Scaf9736_6.8
TIGR01973	PE_Scaf2144_0.2
TIGR00957	PE_Scaf4449_5.6
TIGR02168	PE_Scaf9890_1.5
TIGR02168	PE_Scaf9890_1.5
TIGR04242	PE_Scaf6609_6.4
TIGR00231	PE_Scaf148_1.0
TIGR00231	PE_Scaf148_1.0
TIGR00049	PE_Scaf3111_0.5
TIGR01978	PE_Scaf4102_4.5
TIGR01978	PE_Scaf4102_4.5
TIGR01978	PE_Scaf4102_4.5
TIGR01978	PE_Scaf4102_4.5
TIGR01978	PE_Scaf4102_4.5
TIGR01978	PE_Scaf4102_4.5
TIGR01978	PE_Scaf4102_4.5
TIGR00955	PE_Scaf4102_4.5
TIGR00955	PE_Scaf4102_4.5
TIGR00601	PE_Scaf3315_3.17
TIGR00859	PE_Scaf5849_2.8
TIGR03413	PE_Scaf12169_0.6
TIGR00870	PE_Scaf2308_4.6
TIGR00870	PE_Scaf2308_4.6
TIGR00870	PE_Scaf2308_4.6
TIGR00870	PE_Scaf2308_4.6
TIGR00870	PE_Scaf2308_4.6
TIGR00870	PE_Scaf2308_4.6
TIGR00870	PE_Scaf2308_4.6
TIGR00870	PE_Scaf2308_4.6
TIGR00860	PE_Scaf9497_0.1
TIGR00860	PE_Scaf9497_0.1
TIGR00376	PE_Scaf44_0.19
TIGR00376	PE_Scaf44_0.19
TIGR00235	PE_Scaf5154_8.2
TIGR00860	PE_Scaf2238_4.7
TIGR00376	PE_Scaf6971_0.2
TIGR01422	PE_Scaf8420_14.5
TIGR01070	PE_Scaf6837_2.8
TIGR01070	PE_Scaf6837_2.8
