# Species	Genes	Alg.-Conn.	clean_P08H-3.faa	clean_Pec.faa	clean_R07B-5.faa
3	4	0.135	augustus-ctg254_pilon-processed-gene-3.5-mRNA-1	PE_Scaf465_0.11	augustus-ctg1404_pilon-processed-gene-0.26-mRNA-1,augustus-ctg1404_pilon-processed-gene-0.23-mRNA-1
3	4	0.135	augustus-ctg395_pilon-processed-gene-0.0-mRNA-1	PE_Scaf11306_3.2	maker-ctg615_pilon-protein2genome-gene-0.9-mRNA-1,maker-ctg3559_pilon-protein2genome-gene-0.2-mRNA-1
3	4	0.135	augustus-ctg660_pilon-processed-gene-0.7-mRNA-1	PE_Scaf3886_14.2	maker-ctg677_pilon-protein2genome-gene-2.77-mRNA-1,augustus_masked-ctg37_pilon-processed-gene-12.41-mRNA-1
3	4	0.135	augustus-ctg780_pilon-processed-gene-2.42-mRNA-1	PE_Scaf2646_1.4	maker-ctg737_pilon-protein2genome-gene-2.67-mRNA-1,maker-ctg737_pilon-protein2genome-gene-2.61-mRNA-1
3	4	0.135	augustus-ctg86_pilon-processed-gene-6.22-mRNA-1	PE_Scaf5790_2.4	augustus-ctg1041_pilon-processed-gene-1.80-mRNA-1,maker-ctg114_pilon-protein2genome-gene-6.81-mRNA-1
3	4	0.134	augustus-ctg134_pilon-processed-gene-5.23-mRNA-1	PE_Scaf5712_4.2	maker-ctg1432_pilon-protein2genome-gene-0.30-mRNA-1,maker-ctg2838_pilon-protein2genome-gene-0.6-mRNA-1
3	4	0.134	augustus-ctg174_pilon-processed-gene-1.76-mRNA-1,augustus-ctg174_pilon-processed-gene-1.79-mRNA-1	PE_Scaf4777_0.4	maker-ctg966_pilon-protein2genome-gene-0.6-mRNA-1
3	4	0.134	augustus-ctg291_pilon-processed-gene-6.5-mRNA-1	PE_Scaf10773_1.3	maker-ctg98_pilon-protein2genome-gene-5.15-mRNA-1,maker-ctg147_pilon-protein2genome-gene-1.45-mRNA-1
3	4	0.134	augustus-ctg34_pilon-processed-gene-1.33-mRNA-1	PE_Scaf7463_0.5	maker-ctg924_pilon-protein2genome-gene-0.16-mRNA-1,maker-ctg34_pilon-protein2genome-gene-3.5-mRNA-1
3	4	0.134	augustus-ctg362_pilon-processed-gene-5.0-mRNA-1	PE_Scaf4974_0.6,PE_Scaf10480_0.3	maker-ctg215_pilon-protein2genome-gene-5.29-mRNA-1
3	4	0.134	augustus-ctg824_pilon-processed-gene-3.44-mRNA-1	PE_Scaf8802_0.4	maker-ctg6_pilon-protein2genome-gene-0.5-mRNA-1,maker-ctg172_pilon-protein2genome-gene-2.27-mRNA-1
3	4	0.134	maker-ctg1588_pilon-protein2genome-gene-0.13-mRNA-1	PE_Scaf11641_6.7,PE_Scaf7335_1.3	augustus-ctg272_pilon-processed-gene-1.45-mRNA-1
3	4	0.134	maker-ctg260_pilon-augustus-gene-1.81-mRNA-1	PE_Scaf11952_16.19	augustus_masked-ctg29_pilon-processed-gene-3.12-mRNA-1,maker-ctg5387_pilon-est_gff_est2genome-gene-0.4-mRNA-1
3	4	0.134	maker-ctg437_pilon-augustus-gene-4.56-mRNA-1	PE_Scaf8553_4.13,PE_Scaf8553_4.5	augustus-ctg1609_pilon-processed-gene-0.75-mRNA-1
3	4	0.133	augustus-ctg776_pilon-processed-gene-3.4-mRNA-1	PE_Scaf404_0.2	maker-ctg26_pilon-protein2genome-gene-7.50-mRNA-1,maker-ctg433_pilon-protein2genome-gene-1.11-mRNA-1
3	4	0.133	maker-ctg374_pilon-augustus-gene-7.18-mRNA-1,augustus-ctg237_pilon-processed-gene-4.68-mRNA-1	PE_Scaf12024_7.8	maker-ctg259_pilon-protein2genome-gene-0.16-mRNA-1
3	4	0.133	maker-ctg658_pilon-augustus-gene-0.16-mRNA-1	PE_Scaf1330_2.12	maker-ctg372_pilon-protein2genome-gene-2.41-mRNA-1,maker-ctg370_pilon-protein2genome-gene-1.17-mRNA-1
3	4	0.132	augustus-ctg235_pilon-processed-gene-4.40-mRNA-1	PE_Scaf4548_7.6,PE_Scaf6273_9.7	augustus-ctg681_pilon-processed-gene-1.79-mRNA-1
3	4	0.132	augustus-ctg271_pilon-processed-gene-6.25-mRNA-1	PE_Scaf11091_9.6	augustus-ctg546_pilon-processed-gene-4.2-mRNA-1,maker-ctg819_pilon-protein2genome-gene-1.29-mRNA-1
3	4	0.132	augustus-ctg5_pilon-processed-gene-5.6-mRNA-1	PE_Scaf7396_1.3	maker-ctg564_pilon-est2genome-gene-2.49-mRNA-1,maker-ctg5907_pilon-est2genome-gene-0.10-mRNA-1
3	4	0.132	maker-ctg161_pilon-augustus-gene-16.54-mRNA-1	PE_Scaf10375_0.5,PE_Scaf10264_0.6	augustus-ctg394_pilon-processed-gene-2.23-mRNA-1
3	4	0.132	maker-ctg740_pilon-augustus-gene-0.18-mRNA-1	PE_Scaf12423_4.6	maker-ctg659_pilon-protein2genome-gene-0.4-mRNA-1,maker-ctg939_pilon-est2genome-gene-1.36-mRNA-1
3	4	0.131	augustus-ctg354_pilon-processed-gene-1.13-mRNA-1	PE_Scaf6755_0.4,PE_Scaf189_1.12	maker-ctg2_pilon-protein2genome-gene-24.64-mRNA-1
3	4	0.131	augustus-ctg512_pilon-processed-gene-3.65-mRNA-1	PE_Scaf9706_3.4	maker-ctg299_pilon-protein2genome-gene-0.20-mRNA-1,maker-ctg299_pilon-protein2genome-gene-0.19-mRNA-1
3	4	0.131	augustus-ctg532_pilon-processed-gene-6.48-mRNA-1,maker-ctg45_pilon-augustus-gene-2.13-mRNA-1	PE_Scaf8083_1.11	maker-ctg215_pilon-protein2genome-gene-6.8-mRNA-1
3	4	0.131	maker-ctg732_pilon-augustus-gene-1.58-mRNA-1,augustus_masked-ctg332_pilon-processed-gene-1.9-mRNA-1	PE_Scaf7017_9.3	augustus_masked-ctg489_pilon-processed-gene-3.102-mRNA-1
3	4	0.13	augustus-ctg174_pilon-processed-gene-9.6-mRNA-1	PE_Scaf1595_3.7,PE_Scaf1595_1.7	augustus-ctg519_pilon-processed-gene-5.2-mRNA-1
3	4	0.13	augustus-ctg393_pilon-processed-gene-2.38-mRNA-1	PE_Scaf11450_2.15,PE_Scaf11450_3.28	augustus-ctg450_pilon-processed-gene-2.3-mRNA-1
3	4	0.13	augustus-ctg57_pilon-processed-gene-7.21-mRNA-1	PE_Scaf11661_2.9	maker-ctg568_pilon-protein2genome-gene-1.12-mRNA-1,maker-ctg568_pilon-protein2genome-gene-1.13-mRNA-1
3	4	0.13	augustus-ctg67_pilon-processed-gene-0.34-mRNA-1	PE_Scaf746_1.3	maker-ctg1324_pilon-augustus-gene-1.5-mRNA-1,maker-ctg5055_pilon-augustus-gene-0.5-mRNA-1
3	4	0.13	augustus-ctg6_pilon-processed-gene-0.56-mRNA-1	PE_Scaf11505_0.6	maker-ctg788_pilon-protein2genome-gene-0.13-mRNA-1,maker-ctg27_pilon-protein2genome-gene-0.10-mRNA-1
3	4	0.13	augustus_masked-ctg1002_pilon-processed-gene-2.9-mRNA-1	PE_Scaf4360_14.5	maker-ctg169_pilon-est_gff_est2genome-gene-3.36-mRNA-1,maker-ctg169_pilon-est_gff_est2genome-gene-3.38-mRNA-1
3	4	0.13	augustus_masked-ctg258_pilon-processed-gene-1.4-mRNA-1	PE_Scaf7114_0.6,PE_Scaf3937_37.10	maker-ctg189_pilon-protein2genome-gene-0.18-mRNA-1
3	4	0.13	maker-ctg15_pilon-augustus-gene-18.34-mRNA-1	PE_Scaf6295_0.10	maker-ctg994_pilon-protein2genome-gene-2.27-mRNA-1,maker-ctg994_pilon-protein2genome-gene-2.26-mRNA-1
3	4	0.13	maker-ctg1749_pilon-augustus-gene-0.1-mRNA-1	PE_Scaf4513_4.1	augustus-ctg755_pilon-processed-gene-2.11-mRNA-1,maker-ctg1024_pilon-est2genome-gene-0.7-mRNA-1
3	4	0.13	maker-ctg404_pilon-augustus-gene-2.20-mRNA-1	PE_Scaf5296_0.2,PE_Scaf10005_9.20	augustus-ctg544_pilon-processed-gene-1.31-mRNA-1
3	4	0.13	maker-ctg442_pilon-augustus-gene-3.2-mRNA-1	PE_Scaf11819_8.8,PE_Scaf2078_0.9	augustus-ctg56_pilon-processed-gene-6.3-mRNA-1
3	4	0.13	maker-ctg733_pilon-augustus-gene-1.47-mRNA-1,maker-ctg990_pilon-augustus-gene-0.6-mRNA-1	PE_Scaf8049_14.5	maker-ctg883_pilon-protein2genome-gene-1.13-mRNA-1
3	4	0.13	maker-ctg93_pilon-augustus-gene-2.4-mRNA-1	PE_Scaf11791_1.4,PE_Scaf9069_0.4	augustus-ctg484_pilon-processed-gene-0.33-mRNA-1
3	4	0.129	augustus-ctg108_pilon-processed-gene-3.50-mRNA-1	PE_Scaf8437_0.3,PE_Scaf2378_0.6	augustus-ctg735_pilon-processed-gene-2.9-mRNA-1
3	4	0.129	augustus-ctg61_pilon-processed-gene-13.59-mRNA-1	PE_Scaf1760_1.2,PE_Scaf8175_3.7	augustus-ctg148_pilon-processed-gene-4.10-mRNA-1
3	4	0.129	augustus-ctg7_pilon-processed-gene-9.4-mRNA-1	PE_Scaf7005_0.11,PE_Scaf11330_0.5	maker-ctg141_pilon-protein2genome-gene-1.25-mRNA-1
3	4	0.129	augustus_masked-ctg97_pilon-processed-gene-2.23-mRNA-1	PE_Scaf9104_2.12	maker-ctg179_pilon-augustus-gene-5.64-mRNA-1,augustus_masked-ctg5550_pilon-processed-gene-0.0-mRNA-1
3	4	0.129	maker-ctg10_pilon-augustus-gene-12.12-mRNA-1	PE_Scaf2865_1.5,PE_Scaf11344_1.5	maker-ctg692_pilon-protein2genome-gene-6.11-mRNA-1
3	4	0.128	augustus-ctg22_pilon-processed-gene-3.34-mRNA-1	PE_Scaf12256_5.12	maker-ctg1319_pilon-protein2genome-gene-0.3-mRNA-1,maker-ctg2618_pilon-protein2genome-gene-0.14-mRNA-1
3	4	0.128	augustus-ctg25_pilon-processed-gene-9.76-mRNA-1	PE_Scaf4194_13.12	maker-ctg15_pilon-est_gff_est2genome-gene-4.83-mRNA-1,maker-ctg1289_pilon-protein2genome-gene-0.43-mRNA-1
3	4	0.128	augustus-ctg569_pilon-processed-gene-3.66-mRNA-1	PE_Scaf2357_2.28,PE_Scaf8479_1.4	maker-ctg193_pilon-protein2genome-gene-4.95-mRNA-1
3	4	0.128	maker-ctg121_pilon-augustus-gene-9.9-mRNA-1	PE_Scaf12078_2.14	maker-ctg1104_pilon-augustus-gene-4.66-mRNA-1,maker-ctg1104_pilon-protein2genome-gene-4.42-mRNA-1
3	4	0.128	maker-ctg12_pilon-augustus-gene-12.33-mRNA-1	PE_Scaf8200_0.2	maker-ctg579_pilon-protein2genome-gene-2.2-mRNA-1,maker-ctg477_pilon-protein2genome-gene-2.15-mRNA-1
3	4	0.128	maker-ctg275_pilon-augustus-gene-8.5-mRNA-1	PE_Scaf7874_2.8,PE_Scaf2331_0.7	maker-ctg13_pilon-protein2genome-gene-3.24-mRNA-1
3	4	0.128	maker-ctg29_pilon-augustus-gene-6.13-mRNA-1	PE_Scaf7019_0.5,PE_Scaf2799_3.6	maker-ctg443_pilon-protein2genome-gene-4.35-mRNA-1
3	4	0.127	augustus-ctg191_pilon-processed-gene-4.67-mRNA-1	PE_Scaf12050_10.5,PE_Scaf5676_1.2	maker-ctg17_pilon-protein2genome-gene-0.19-mRNA-1
3	4	0.127	augustus-ctg246_pilon-processed-gene-1.4-mRNA-1,augustus-ctg377_pilon-processed-gene-0.9-mRNA-1	PE_Scaf5997_5.7	maker-ctg1336_pilon-protein2genome-gene-1.4-mRNA-1
3	4	0.127	augustus-ctg250_pilon-processed-gene-3.74-mRNA-1	PE_Scaf6542_9.0	maker-ctg991_pilon-protein2genome-gene-0.82-mRNA-1,maker-ctg3487_pilon-protein2genome-gene-0.15-mRNA-1
3	4	0.127	augustus-ctg660_pilon-processed-gene-2.57-mRNA-1	PE_Scaf3676_3.9,PE_Scaf7283_7.4	maker-ctg378_pilon-protein2genome-gene-2.34-mRNA-1
3	4	0.127	augustus_masked-ctg766_pilon-processed-gene-2.51-mRNA-1	PE_Scaf3288_0.6,PE_Scaf3049_6.15	augustus-ctg323_pilon-processed-gene-4.5-mRNA-1
3	4	0.127	maker-ctg1384_pilon-augustus-gene-0.32-mRNA-1	PE_Scaf10509_0.2,PE_Scaf4335_20.16	augustus-ctg231_pilon-processed-gene-3.67-mRNA-1
3	4	0.127	maker-ctg37_pilon-augustus-gene-12.6-mRNA-1	PE_Scaf3127_1.5,PE_Scaf9543_1.11	maker-ctg868_pilon-protein2genome-gene-0.5-mRNA-1
3	4	0.126	augustus-ctg248_pilon-processed-gene-1.11-mRNA-1	PE_Scaf8006_2.3,PE_Scaf7907_0.3	augustus-ctg896_pilon-processed-gene-0.38-mRNA-1
3	4	0.126	augustus-ctg304_pilon-processed-gene-2.71-mRNA-1	PE_Scaf659_2.8	maker-ctg176_pilon-est_gff_est2genome-gene-3.76-mRNA-1,maker-ctg993_pilon-est2genome-gene-0.43-mRNA-1
3	4	0.126	augustus-ctg529_pilon-processed-gene-0.32-mRNA-1	PE_Scaf6589_4.1,PE_Scaf6589_3.13	maker-ctg292_pilon-protein2genome-gene-2.10-mRNA-1
3	4	0.126	augustus-ctg564_pilon-processed-gene-1.66-mRNA-1	PE_Scaf11634_0.6	maker-ctg146_pilon-est_gff_est2genome-gene-5.58-mRNA-1,maker-ctg711_pilon-protein2genome-gene-3.120-mRNA-1
3	4	0.126	augustus-ctg928_pilon-processed-gene-0.4-mRNA-1	PE_Scaf2357_2.12,PE_Scaf2357_2.13	maker-ctg298_pilon-protein2genome-gene-1.14-mRNA-1
3	4	0.126	maker-ctg1842_pilon-augustus-gene-0.3-mRNA-1	PE_Scaf5119_10.6	maker-ctg42_pilon-est2genome-gene-11.40-mRNA-1,maker-ctg4393_pilon-est2genome-gene-0.12-mRNA-1
3	4	0.126	maker-ctg790_pilon-augustus-gene-1.72-mRNA-1	PE_Scaf1965_1.3,PE_Scaf1991_0.5	maker-ctg276_pilon-protein2genome-gene-3.3-mRNA-1
3	4	0.125	augustus-ctg10_pilon-processed-gene-11.92-mRNA-1	PE_Scaf8416_14.6,PE_Scaf7072_0.3	maker-ctg919_pilon-protein2genome-gene-0.3-mRNA-1
3	4	0.125	augustus-ctg279_pilon-processed-gene-3.125-mRNA-1	PE_Scaf9107_1.8	maker-ctg3_pilon-protein2genome-gene-1.64-mRNA-1,maker-ctg3_pilon-protein2genome-gene-2.80-mRNA-1
3	4	0.125	maker-ctg116_pilon-augustus-gene-5.3-mRNA-1	PE_Scaf10454_0.9,PE_Scaf9931_0.2	maker-ctg548_pilon-protein2genome-gene-1.2-mRNA-1
3	4	0.124	augustus-ctg1140_pilon-processed-gene-0.6-mRNA-1	PE_Scaf1905_2.8	augustus-ctg1361_pilon-processed-gene-0.29-mRNA-1,maker-ctg443_pilon-protein2genome-gene-0.52-mRNA-1
3	4	0.124	augustus-ctg122_pilon-processed-gene-8.24-mRNA-1	PE_Scaf6682_0.4,PE_Scaf2563_0.2	maker-ctg155_pilon-protein2genome-gene-4.48-mRNA-1
3	4	0.124	augustus-ctg168_pilon-processed-gene-4.111-mRNA-1	PE_Scaf9685_15.13,PE_Scaf9685_15.12	maker-ctg442_pilon-protein2genome-gene-2.28-mRNA-1
3	4	0.124	augustus-ctg304_pilon-processed-gene-4.9-mRNA-1,augustus-ctg304_pilon-processed-gene-4.8-mRNA-1	PE_Scaf9490_8.5	maker-ctg8_pilon-protein2genome-gene-6.10-mRNA-1
3	4	0.124	maker-ctg1107_pilon-augustus-gene-0.33-mRNA-1	PE_Scaf7351_0.2,PE_Scaf1076_1.8	augustus-ctg225_pilon-processed-gene-1.39-mRNA-1
3	4	0.123	maker-ctg1125_pilon-augustus-gene-0.52-mRNA-1	PE_Scaf10861_4.5	maker-ctg444_pilon-protein2genome-gene-2.28-mRNA-1,maker-ctg444_pilon-est2genome-gene-2.1-mRNA-1
3	4	0.123	maker-ctg1273_pilon-augustus-gene-0.23-mRNA-1	PE_Scaf3525_0.1,PE_Scaf3037_0.5	maker-ctg695_pilon-protein2genome-gene-0.2-mRNA-1
3	4	0.123	maker-ctg662_pilon-augustus-gene-1.48-mRNA-1,maker-ctg662_pilon-augustus-gene-1.49-mRNA-1	PE_Scaf5693_0.4	augustus-ctg460_pilon-processed-gene-4.25-mRNA-1
3	4	0.122	augustus_masked-ctg12_pilon-processed-gene-30.9-mRNA-1	PE_Scaf3137_2.2	augustus_masked-ctg744_pilon-processed-gene-1.20-mRNA-1,augustus_masked-ctg132_pilon-processed-gene-3.2-mRNA-1
3	4	0.122	augustus_masked-ctg395_pilon-processed-gene-2.65-mRNA-1	PE_Scaf5119_11.1,PE_Scaf5119_11.0	maker-ctg42_pilon-protein2genome-gene-11.36-mRNA-1
3	4	0.122	maker-ctg72_pilon-augustus-gene-0.12-mRNA-1	PE_Scaf10389_0.9	maker-ctg1056_pilon-est_gff_est2genome-gene-0.25-mRNA-1,maker-ctg5978_pilon-protein2genome-gene-0.5-mRNA-1
3	4	0.121	augustus_masked-ctg22_pilon-processed-gene-9.4-mRNA-1	PE_Scaf11183_4.4,PE_Scaf11115_0.6	augustus_masked-ctg963_pilon-processed-gene-0.26-mRNA-1
3	4	0.121	augustus_masked-ctg341_pilon-processed-gene-5.27-mRNA-1	PE_Scaf5802_14.7	maker-ctg207_pilon-protein2genome-gene-1.87-mRNA-1,maker-ctg574_pilon-protein2genome-gene-1.34-mRNA-1
3	4	0.121	augustus_masked-ctg593_pilon-processed-gene-1.18-mRNA-1	PE_Scaf6625_13.6	augustus-ctg1080_pilon-processed-gene-0.0-mRNA-1,maker-ctg108_pilon-protein2genome-gene-3.35-mRNA-1
3	4	0.121	maker-ctg250_pilon-augustus-gene-2.28-mRNA-1	PE_Scaf3933_0.14	maker-ctg36_pilon-protein2genome-gene-6.11-mRNA-1,maker-ctg36_pilon-protein2genome-gene-6.10-mRNA-1
3	4	0.12	augustus-ctg165_pilon-processed-gene-4.24-mRNA-1	PE_Scaf12500_1.5	maker-ctg945_pilon-protein2genome-gene-0.4-mRNA-1,maker-ctg35_pilon-protein2genome-gene-6.30-mRNA-1
3	4	0.12	augustus-ctg22_pilon-processed-gene-10.14-mRNA-1	PE_Scaf4021_0.3,PE_Scaf4021_2.5	maker-ctg6210_pilon-protein2genome-gene-0.13-mRNA-1
3	4	0.12	augustus-ctg3056_pilon-processed-gene-0.18-mRNA-1	PE_Scaf10657_15.6	maker-ctg291_pilon-protein2genome-gene-3.1-mRNA-1,maker-ctg4934_pilon-protein2genome-gene-0.6-mRNA-1
3	4	0.12	augustus_masked-ctg404_pilon-processed-gene-1.21-mRNA-1	PE_Scaf3661_1.11,PE_Scaf3661_1.9	maker-ctg755_pilon-protein2genome-gene-1.38-mRNA-1
3	4	0.119	augustus-ctg362_pilon-processed-gene-5.19-mRNA-1	PE_Scaf2100_12.6,PE_Scaf9757_1.6	maker-ctg340_pilon-protein2genome-gene-3.87-mRNA-1
3	4	0.119	augustus-ctg623_pilon-processed-gene-4.65-mRNA-1	PE_Scaf12099_6.9	maker-ctg621_pilon-protein2genome-gene-0.26-mRNA-1,maker-ctg419_pilon-protein2genome-gene-8.64-mRNA-1
3	4	0.119	maker-ctg265_pilon-augustus-gene-0.28-mRNA-1	PE_Scaf7740_0.0,PE_Scaf235_0.12	maker-ctg672_pilon-protein2genome-gene-1.20-mRNA-1
3	4	0.119	maker-ctg332_pilon-augustus-gene-2.20-mRNA-1	PE_Scaf5401_3.12	maker-ctg337_pilon-protein2genome-gene-2.60-mRNA-1,maker-ctg337_pilon-protein2genome-gene-2.45-mRNA-1
3	4	0.118	augustus-ctg253_pilon-processed-gene-3.16-mRNA-1	PE_Scaf8107_1.8	maker-ctg525_pilon-augustus-gene-6.51-mRNA-1,maker-ctg3688_pilon-augustus-gene-0.1-mRNA-1
3	4	0.118	augustus_masked-ctg554_pilon-processed-gene-1.25-mRNA-1	PE_Scaf7657_12.3	maker-ctg212_pilon-protein2genome-gene-7.0-mRNA-1,maker-ctg5223_pilon-augustus-gene-0.25-mRNA-1
3	4	0.118	maker-ctg330_pilon-augustus-gene-6.37-mRNA-1	PE_Scaf4458_2.10	augustus-ctg7858_pilon-processed-gene-0.10-mRNA-1,maker-ctg115_pilon-protein2genome-gene-7.29-mRNA-1
3	4	0.118	maker-ctg808_pilon-augustus-gene-0.122-mRNA-1	PE_Scaf4877_1.12	maker-ctg812_pilon-protein2genome-gene-0.7-mRNA-1,maker-ctg812_pilon-protein2genome-gene-0.8-mRNA-1
3	4	0.117	augustus-ctg1205_pilon-processed-gene-0.86-mRNA-1	PE_Scaf9123_1.12,PE_Scaf9123_1.10	maker-ctg1197_pilon-augustus-gene-0.112-mRNA-1
3	4	0.117	augustus-ctg16_pilon-processed-gene-2.49-mRNA-1	PE_Scaf7701_1.2,PE_Scaf7701_2.2	maker-ctg335_pilon-protein2genome-gene-3.52-mRNA-1
3	4	0.117	augustus-ctg181_pilon-processed-gene-0.11-mRNA-1,augustus_masked-ctg481_pilon-processed-gene-5.14-mRNA-1	PE_Scaf2137_22.8	augustus-ctg276_pilon-processed-gene-3.42-mRNA-1
3	4	0.117	augustus-ctg243_pilon-processed-gene-1.48-mRNA-1	PE_Scaf7346_4.2	maker-ctg365_pilon-protein2genome-gene-0.16-mRNA-1,maker-ctg365_pilon-protein2genome-gene-0.36-mRNA-1
3	4	0.117	augustus-ctg397_pilon-processed-gene-2.16-mRNA-1	PE_Scaf2086_1.13,PE_Scaf4914_0.3	maker-ctg187_pilon-protein2genome-gene-3.43-mRNA-1
3	4	0.117	augustus-ctg790_pilon-processed-gene-0.16-mRNA-1	PE_Scaf8416_7.4,PE_Scaf5760_1.10	augustus-ctg7530_pilon-processed-gene-0.26-mRNA-1
3	4	0.117	augustus_masked-ctg136_pilon-processed-gene-3.32-mRNA-1	PE_Scaf6972_1.3,PE_Scaf6972_2.2	maker-ctg698_pilon-protein2genome-gene-0.17-mRNA-1
3	4	0.117	augustus_masked-ctg701_pilon-processed-gene-0.40-mRNA-1	PE_Scaf5854_0.4,PE_Scaf3945_2.12	maker-ctg181_pilon-protein2genome-gene-0.33-mRNA-1
3	4	0.117	maker-ctg114_pilon-augustus-gene-6.17-mRNA-1	PE_Scaf1846_14.2,PE_Scaf1846_15.8	maker-ctg61_pilon-protein2genome-gene-0.12-mRNA-1
3	4	0.116	augustus-ctg1280_pilon-processed-gene-0.106-mRNA-1	PE_Scaf6625_12.5,PE_Scaf9323_3.6	maker-ctg1046_pilon-protein2genome-gene-0.66-mRNA-1
3	4	0.116	augustus-ctg453_pilon-processed-gene-1.21-mRNA-1	PE_Scaf2067_0.3,PE_Scaf6724_4.1	maker-ctg1468_pilon-protein2genome-gene-0.56-mRNA-1
3	4	0.115	augustus-ctg72_pilon-processed-gene-3.90-mRNA-1	PE_Scaf3962_0.5,PE_Scaf4386_2.6	augustus-ctg691_pilon-processed-gene-2.16-mRNA-1
3	4	0.115	maker-ctg1_pilon-augustus-gene-17.37-mRNA-1,maker-ctg31_pilon-augustus-gene-2.68-mRNA-1	PE_Scaf1952_8.4	augustus-ctg795_pilon-processed-gene-1.17-mRNA-1
3	4	0.115	maker-ctg33_pilon-augustus-gene-7.59-mRNA-1	PE_Scaf1644_1.7,PE_Scaf1644_1.8	maker-ctg204_pilon-augustus-gene-6.14-mRNA-1
3	4	0.114	augustus-ctg157_pilon-processed-gene-4.63-mRNA-1	PE_Scaf9866_1.12,PE_Scaf9866_1.13	augustus-ctg550_pilon-processed-gene-3.9-mRNA-1
