mRNA	TSS_idx	CpGs_count	CpGoe	callCpGs_count	meth_meancallcov	meth_freq	meth_depth	meth_cov	LTR_boundary
ctg1028_pilon:163679..166165	-45	12	0.3583	12	57.25	0.04812773333	0.0721916	0.666667	start
ctg1028_pilon:159645..166165	-24	12	0.403765	12	57.25	0.04812773333	0.0721916	0.666667	start
ctg1028_pilon:163679..166165	-44	12	0.420589	12	57.25	0.04812773333	0.0721916	0.666667	start
ctg1028_pilon:159645..166165	-23	18	0.604936	18	57.5	0.03547158889	0.0532074	0.666667	start
ctg1028_pilon:163679..166165	-43	20	0.64429	20	57.25	0.03192443	0.0532074	0.6	start
ctg1028_pilon:159645..166165	-22	27	0.861831	27	60.62962963	0.02622026296	0.0505676	0.518519	start
ctg1028_pilon:163679..166165	-42	25	0.839879	25	61.88	0.02054632	0.0428048	0.48	start
ctg1028_pilon:159645..166165	-21	29	0.913293	29	61.48275862	0.02075266207	0.0401218	0.517241	start
ctg1028_pilon:163679..166165	-41	29	0.903093	29	62.34482759	0.02366669655	0.0428959	0.551724	start
ctg1028_pilon:159645..166165	-20	39	1.08225	39	61.30769231	0.02347315897	0.0416115	0.564103	start
ctg1028_pilon:163679..166165	-40	40	1.11994	40	61.475	0.021227775	0.038596	0.55	start
ctg1028_pilon:159645..166165	-19	57	1.41669	55	62.03636364	0.02062740182	0.0453803	0.454545	start
ctg1028_pilon:163679..166165	-39	60	1.41464	58	62.62068966	0.02042253621	0.045558	0.448276	start
ctg1028_pilon:159645..166165	-18	72	1.48443	69	65.57971014	0.01668592899	0.047972	0.347826	start
ctg1028_pilon:163679..166165	-38	72	1.52708	68	65.80882353	0.01742150588	0.0473865	0.367647	start
ctg1028_pilon:159645..166165	-17	70	1.40292	65	64.15384615	0.01901331846	0.0537333	0.353846	start
ctg1028_pilon:163679..166165	-37	71	1.37335	66	64.07575758	0.01949565455	0.0536131	0.363636	start
ctg1028_pilon:159645..166165	-16	66	1.53513	61	64.91803279	0.01810987541	0.0581422	0.311475	start
ctg1028_pilon:163679..166165	-36	66	1.55717	61	64.80327869	0.01672451475	0.0566775	0.295082	start
ctg1028_pilon:159645..166165	-15	61	1.44557	56	65.05357143	0.019986675	0.0658385	0.303571	start
ctg1028_pilon:163679..166165	-35	61	1.46647	56	64.89285714	0.02089813214	0.0650164	0.321429	start
ctg1028_pilon:159645..166165	-14	54	1.44793	51	64.76470588	0.02109083529	0.0566122	0.372549	start
ctg1028_pilon:163679..166165	-34	53	1.43986	50	64.1	0.020512652	0.0569796	0.36	start
ctg1028_pilon:159645..166165	-13	45	1.35088	44	60.79545455	0.02535822727	0.0507165	0.5	start
ctg1028_pilon:163679..166165	-33	46	1.35629	45	60.35555556	0.02659236444	0.0520285	0.511111	start
ctg1028_pilon:159645..166165	-12	48	1.41986	47	59.25531915	0.02666234681	0.0464122	0.574468	start
ctg1028_pilon:163679..166165	-32	48	1.41326	47	58.82978723	0.02994491064	0.0521263	0.574468	start
ctg1028_pilon:159645..166165	-11	57	1.35129	56	59.07142857	0.02710231607	0.050591	0.535714	start
ctg1028_pilon:163679..166165	-31	56	1.37409	55	58.98181818	0.02759508545	0.050591	0.545455	start
ctg1028_pilon:159645..166165	-10	50	1.33158	49	58.85714286	0.02366737959	0.0483209	0.489796	start
ctg1028_pilon:163679..166165	-30	49	1.27096	48	58.22916667	0.02545972917	0.0531333	0.479167	start
ctg1028_pilon:159645..166165	-9	44	1.04827	43	56.93023256	0.02538211163	0.0496105	0.511628	start
ctg1028_pilon:163679..166165	-29	45	1.05186	43	57.02325581	0.02538211163	0.0496105	0.511628	start
ctg1028_pilon:159645..166165	-8	46	0.995418	44	53.34090909	0.02726218409	0.0479814	0.568182	start
ctg1028_pilon:163679..166165	-28	48	0.996765	46	54.58695652	0.02359366087	0.0471873	0.5	start
ctg1028_pilon:159645..166165	-7	45	1.04076	44	56.65909091	0.01943510909	0.0407212	0.477273	start
ctg1028_pilon:163679..166165	-27	45	1.06439	44	56.77272727	0.01528963864	0.0320354	0.477273	start
ctg1028_pilon:159645..166165	-6	43	1.04537	42	54.69047619	0.01839620476	0.03512	0.52381	start
ctg1028_pilon:163679..166165	-26	46	1.05013	45	53.82222222	0.0182538	0.0342259	0.533333	start
ctg1028_pilon:159645..166165	-5	52	1.03983	51	54.58823529	0.0186841098	0.0366496	0.509804	start
ctg1028_pilon:163679..166165	-25	54	1.08684	53	54.83018868	0.01554448302	0.0329543	0.471698	start
ctg1028_pilon:159645..166165	-4	46	1.14721	45	55.06666667	0.01697245556	0.0347164	0.488889	start
ctg1028_pilon:163679..166165	-24	55	1.1011	54	53.7037037	0.02039313704	0.042355	0.481481	start
ctg1028_pilon:159645..166165	-3	31	1.1428	31	56.32258065	0.01734670968	0.0413652	0.419355	start
ctg1028_pilon:163679..166165	-23	48	1.05306	47	52.63829787	0.02157672128	0.0563392	0.382979	start
ctg1028_pilon:159645..166165	-2	21	1.0174	21	53.0952381	0.01967579524	0.0459102	0.428571	start
ctg1028_pilon:163679..166165	-22	49	0.995313	48	52.16666667	0.0245421	0.0692953	0.354167	start
ctg1028_pilon:159645..166165	-1	11	0.850079	11	54.27272727	0.01638627273	0.0450622	0.363636	start
ctg1028_pilon:163679..166165	-21	47	0.976526	46	53.36956522	0.02662111087	0.0680317	0.391304	start
ctg1028_pilon:159645..166165	1	46	1.01262	45	52.53333333	0.02753313778	0.0652101	0.422222	start
ctg1028_pilon:159645..166165	33	46	1.01262	45	52.53333333	0.02753313778	0.0652101	0.422222	end
ctg1028_pilon:163679..166165	-20	44	1.01111	43	52.58139535	0.03067421395	0.0659496	0.465116	start
ctg1028_pilon:159645..166165	2	39	0.942062	39	53.12820513	0.02883024103	0.0591779	0.487179	start
ctg1028_pilon:159645..166165	32	39	0.942062	39	53.12820513	0.02883024103	0.0591779	0.487179	end
ctg1028_pilon:163679..166165	-19	41	0.990373	41	53.97560976	0.03024412927	0.0563641	0.536585	start
ctg1028_pilon:159645..166165	31	41	1.01306	41	58.17073171	0.03195681463	0.0545929	0.585366	end
ctg1028_pilon:159645..166165	3	41	1.01306	41	58.17073171	0.03195681463	0.0545929	0.585366	start
ctg1028_pilon:163679..166165	-18	40	0.999901	40	58.225	0.032755735	0.0545929	0.6	start
ctg1028_pilon:159645..166165	30	52	1.14936	50	61.16	0.020647286	0.0469256	0.44	end
ctg1028_pilon:159645..166165	4	52	1.14936	50	61.16	0.020647286	0.0469256	0.44	start
ctg1028_pilon:163679..166165	-17	52	1.13581	50	61.46	0.0214316	0.0465904	0.46	start
ctg1028_pilon:159645..166165	29	59	1.24314	56	60.21428571	0.02116806429	0.0538823	0.392857	end
ctg1028_pilon:159645..166165	5	59	1.24314	56	60.21428571	0.02116806429	0.0538823	0.392857	start
ctg1028_pilon:163679..166165	-16	57	1.2015	54	60.05555556	0.02195206667	0.0538823	0.407407	start
ctg1028_pilon:159645..166165	28	59	1.25194	56	60.16071429	0.027661925	0.0553238	0.5	end
ctg1028_pilon:159645..166165	6	59	1.25194	56	60.16071429	0.027661925	0.0553238	0.5	start
ctg1028_pilon:163679..166165	-15	59	1.20246	56	60.44642857	0.02758616786	0.0551723	0.5	start
ctg1028_pilon:159645..166165	27	64	1.23853	61	61.78688525	0.02944588361	0.0544303	0.540984	end
ctg1028_pilon:159645..166165	7	64	1.23853	61	61.78688525	0.02944588361	0.0544303	0.540984	start
ctg1028_pilon:163679..166165	-14	61	1.23959	58	61.87931034	0.02897532759	0.056019	0.517241	start
ctg1028_pilon:159645..166165	26	63	1.29717	60	63.31666667	0.02889813333	0.054184	0.533333	end
ctg1028_pilon:159645..166165	8	63	1.29717	60	63.31666667	0.02889813333	0.054184	0.533333	start
ctg1028_pilon:163679..166165	-13	65	1.31219	62	63.62903226	0.02935004839	0.0535207	0.548387	start
ctg1028_pilon:159645..166165	25	56	1.22672	54	61.96296296	0.03943556111	0.05604	0.703704	end
ctg1028_pilon:159645..166165	9	56	1.22672	54	61.96296296	0.03943556111	0.05604	0.703704	start
ctg1028_pilon:163679..166165	-12	57	1.25329	55	62.2	0.03847173818	0.0556828	0.690909	start
ctg1028_pilon:159645..166165	10	56	1.21586	55	68.49090909	0.03194074727	0.0487984	0.654545	start
ctg1028_pilon:159645..166165	24	56	1.21586	55	68.49090909	0.03194074727	0.0487984	0.654545	end
ctg1028_pilon:163679..166165	-11	55	1.25071	54	68.92592593	0.03253224259	0.0487984	0.666667	start
ctg1028_pilon:159645..166165	11	49	1.19877	48	71.25	0.0286428375	0.049102	0.583333	start
ctg1028_pilon:159645..166165	23	49	1.19877	48	71.25	0.0286428375	0.049102	0.583333	end
ctg1028_pilon:163679..166165	-10	48	1.18549	47	71.36170213	0.02764039574	0.0481148	0.574468	start
ctg1028_pilon:159645..166165	12	46	1.15699	45	70.53333333	0.02594713333	0.0530737	0.488889	start
ctg1028_pilon:159645..166165	22	46	1.15699	45	70.53333333	0.02594713333	0.0530737	0.488889	end
ctg1028_pilon:163679..166165	-9	48	1.13858	47	70.59574468	0.024843	0.0530737	0.468085	start
ctg1028_pilon:159645..166165	13	49	1.09546	48	69.60416667	0.02244116875	0.0468337	0.479167	start
ctg1028_pilon:159645..166165	21	49	1.09546	48	69.60416667	0.02244116875	0.0468337	0.479167	end
ctg1028_pilon:163679..166165	-8	50	1.09094	49	68.71428571	0.0210167898	0.0447749	0.469388	start
ctg1028_pilon:159645..166165	14	51	1.15925	51	70.62745098	0.02037097843	0.0451704	0.45098	start
ctg1028_pilon:159645..166165	20	51	1.15925	51	70.62745098	0.02037097843	0.0451704	0.45098	end
ctg1028_pilon:163679..166165	-7	48	1.14196	48	71.04166667	0.02110997708	0.0460581	0.458333	start
ctg1028_pilon:159645..166165	15	42	1.07601	42	66.47619048	0.02642358333	0.0554895	0.47619	start
ctg1028_pilon:159645..166165	19	42	1.07601	42	66.47619048	0.02642358333	0.0554895	0.47619	end
ctg1028_pilon:163679..166165	-6	45	1.09583	45	66.06666667	0.02498407333	0.0535373	0.466667	start
ctg1028_pilon:159645..166165	16	51	1.0928	51	65.58823529	0.02439022549	0.0444251	0.54902	start
ctg1028_pilon:159645..166165	18	51	1.0928	51	65.58823529	0.02439022549	0.0444251	0.54902	end
ctg1028_pilon:163679..166165	-5	52	1.08577	52	65.34615385	0.02573540577	0.0461462	0.557692	start
ctg1028_pilon:159645..166165	17	57	1.17259	56	65.98214286	0.02335708036	0.0396363	0.589286	start
ctg1028_pilon:159645..166165	17	57	1.17259	56	65.98214286	0.02335708036	0.0396363	0.589286	end
ctg1028_pilon:163679..166165	-4	44	1.16053	44	65.52272727	0.02444291136	0.0413649	0.590909	start
ctg1028_pilon:159645..166165	16	53	1.12033	52	62.96153846	0.02270749038	0.0393597	0.576923	end
ctg1028_pilon:159645..166165	18	53	1.12033	52	62.96153846	0.02270749038	0.0393597	0.576923	start
ctg1028_pilon:163679..166165	-3	30	1.15002	30	63.9	0.02883477667	0.048058	0.6	start
ctg1028_pilon:159645..166165	15	45	0.980562	44	62.79545455	0.02157512727	0.0351595	0.613636	end
ctg1028_pilon:159645..166165	19	45	0.980562	44	62.79545455	0.02157512727	0.0351595	0.613636	start
ctg1028_pilon:163679..166165	-2	20	0.990619	20	60.7	0.02563977	0.0427329	0.6	start
ctg1028_pilon:159645..166165	14	47	0.976526	46	64.65217391	0.02137391957	0.030725	0.695652	end
ctg1028_pilon:159645..166165	20	47	0.976526	46	64.65217391	0.02137391957	0.030725	0.695652	start
ctg1028_pilon:163679..166165	-1	10	0.788255	10	63	0.03416178	0.0379575	0.9	start
ctg1028_pilon:159645..166165	13	44	0.966896	43	66.72093023	0.01957605116	0.0323758	0.604651	end
ctg1028_pilon:159645..166165	21	44	0.966896	43	66.72093023	0.01957605116	0.0323758	0.604651	start
ctg1028_pilon:163679..166165	13	46	1.02637	45	67.71111111	0.01660956889	0.0298972	0.555556	end
ctg1028_pilon:163679..166165	1	46	1.02637	45	67.71111111	0.01660956889	0.0298972	0.555556	start
ctg1028_pilon:159645..166165	12	39	0.955715	39	66.87179487	0.02563401026	0.0454421	0.564103	end
ctg1028_pilon:159645..166165	22	39	0.955715	39	66.87179487	0.02563401026	0.0454421	0.564103	start
ctg1028_pilon:163679..166165	12	40	0.979333	41	67.51219512	0.02529453659	0.0432115	0.585366	end
ctg1028_pilon:163679..166165	2	40	0.979333	41	67.51219512	0.02529453659	0.0432115	0.585366	start
ctg1028_pilon:159645..166165	11	42	1.057	41	69.19512195	0.0300498878	0.0473864	0.634146	end
ctg1028_pilon:159645..166165	23	42	1.057	41	69.19512195	0.0300498878	0.0473864	0.634146	start
ctg1028_pilon:163679..166165	11	42	1.08636	41	69.19512195	0.0300498878	0.0473864	0.634146	end
ctg1028_pilon:163679..166165	3	42	1.08636	41	69.19512195	0.0300498878	0.0473864	0.634146	start
ctg1028_pilon:159645..166165	10	53	1.20225	51	71.70588235	0.0255227902	0.0500639	0.509804	end
ctg1028_pilon:159645..166165	24	53	1.20225	51	71.70588235	0.0255227902	0.0500639	0.509804	start
ctg1028_pilon:163679..166165	10	54	1.19819	52	72.36538462	0.02417796731	0.0502902	0.480769	end
ctg1028_pilon:163679..166165	4	54	1.19819	52	72.36538462	0.02417796731	0.0502902	0.480769	start
ctg1028_pilon:159645..166165	25	58	1.24762	57	71.71929825	0.02674345614	0.0609751	0.438596	start
ctg1028_pilon:159645..166165	9	58	1.24762	57	71.71929825	0.02674345614	0.0609751	0.438596	end
ctg1028_pilon:163679..166165	5	63	1.32246	59	71.69491525	0.02502342373	0.0615159	0.40678	start
ctg1028_pilon:163679..166165	9	63	1.32246	59	71.69491525	0.02502342373	0.0615159	0.40678	end
ctg1028_pilon:159645..166165	26	65	1.35813	61	69.42622951	0.02718286721	0.0592198	0.459016	start
ctg1028_pilon:159645..166165	8	65	1.35813	61	69.42622951	0.02718286721	0.0592198	0.459016	end
ctg1028_pilon:163679..166165	6	62	1.2861	59	68.79661017	0.03149415085	0.0640743	0.491525	start
ctg1028_pilon:163679..166165	8	62	1.2861	59	68.79661017	0.03149415085	0.0640743	0.491525	end
ctg1028_pilon:159645..166165	27	66	1.32551	62	69.51612903	0.02341271935	0.0518424	0.451613	start
ctg1028_pilon:159645..166165	7	66	1.32551	62	69.51612903	0.02341271935	0.0518424	0.451613	end
ctg1028_pilon:163679..166165	7	64	1.31556	61	69.32786885	0.02339175738	0.052848	0.442623	start
ctg1028_pilon:163679..166165	7	64	1.31556	61	69.32786885	0.02339175738	0.052848	0.442623	end
ctg1028_pilon:159645..166165	28	67	1.35901	64	69.265625	0.01895242031	0.0551343	0.34375	start
ctg1028_pilon:159645..166165	6	67	1.35901	64	69.265625	0.01895242031	0.0551343	0.34375	end
ctg1028_pilon:163679..166165	6	69	1.37287	66	68.87878788	0.01976819545	0.0543625	0.363636	end
ctg1028_pilon:163679..166165	8	69	1.37287	66	68.87878788	0.01976819545	0.0543625	0.363636	start
ctg1028_pilon:159645..166165	29	62	1.34616	59	64.3220339	0.02080685424	0.0584574	0.355932	start
ctg1028_pilon:159645..166165	5	62	1.34616	59	64.3220339	0.02080685424	0.0584574	0.355932	end
ctg1028_pilon:163679..166165	5	59	1.34847	56	63.46428571	0.02106092143	0.0589706	0.357143	end
ctg1028_pilon:163679..166165	9	59	1.34847	56	63.46428571	0.02106092143	0.0589706	0.357143	start
ctg1028_pilon:159645..166165	30	47	1.33222	45	62.66666667	0.01809578222	0.0542873	0.333333	start
ctg1028_pilon:159645..166165	4	47	1.33222	45	62.66666667	0.01809578222	0.0542873	0.333333	end
ctg1028_pilon:163679..166165	10	41	1.26849	40	61.675	0.0193303575	0.0552296	0.35	start
ctg1028_pilon:163679..166165	4	41	1.26849	40	61.675	0.0193303575	0.0552296	0.35	end
ctg1028_pilon:159645..166165	31	32	1.28194	31	62.90322581	0.01807069032	0.0622435	0.290323	start
ctg1028_pilon:159645..166165	3	32	1.28194	31	62.90322581	0.01807069032	0.0622435	0.290323	end
ctg1028_pilon:163679..166165	11	31	1.36434	31	62.90322581	0.01807069032	0.0622435	0.290323	start
ctg1028_pilon:163679..166165	3	31	1.36434	31	62.90322581	0.01807069032	0.0622435	0.290323	end
ctg1028_pilon:159645..166165	2	24	1.47901	23	61.52173913	0.01225884783	0.0563907	0.217391	end
ctg1028_pilon:159645..166165	32	24	1.47901	23	61.52173913	0.01225884783	0.0563907	0.217391	start
ctg1028_pilon:163679..166165	12	24	1.46839	23	61.52173913	0.01225884783	0.0563907	0.217391	start
ctg1028_pilon:163679..166165	2	24	1.46839	23	61.52173913	0.01225884783	0.0563907	0.217391	end
ctg1028_pilon:159645..166165	1	11	1.51653	10	54.6	0.0243492	0.060873	0.4	end
ctg1028_pilon:159645..166165	33	11	1.51653	10	54.6	0.0243492	0.060873	0.4	start
ctg1028_pilon:163679..166165	13	9	1.54856	8	54.125	0.01896825	0.075873	0.25	start
ctg1028_pilon:163679..166165	1	9	1.54856	8	54.125	0.01896825	0.075873	0.25	end
ctg1028_pilon:159645..166165	-1	27	0.58106	26	51.92307692	0.05296661923	0.0625969	0.846154	end
ctg1028_pilon:163679..166165	-1	27	0.58106	26	51.92307692	0.05296661923	0.0625969	0.846154	end
ctg1028_pilon:159645..166165	-2	16	0.510458	15	51.8	0.06647700667	0.0712254	0.933333	end
ctg1028_pilon:163679..166165	-2	16	0.510458	15	51.8	0.06647700667	0.0712254	0.933333	end
ctg1028_pilon:159645..166165	-3	10	0.574112	10	47.5	0.05061816	0.0506182	1	end
ctg1028_pilon:163679..166165	-3	10	0.574112	10	47.5	0.05061816	0.0506182	1	end
ctg1028_pilon:159645..166165	-4	3	0.962128	3	48.33333333	0.05702053333	0.0570205	1	end
ctg1028_pilon:163679..166165	-4	3	0.962128	3	48.33333333	0.05702053333	0.0570205	1	end
ctg1028_pilon:159645..166165	-5	1	1.81006	1	32	0.03125	0.03125	1	end
ctg1028_pilon:163679..166165	-5	1	1.81006	1	32	0.03125	0.03125	1	end
ctg1035_pilon:37262..41607	-50	34	1.05047	33	52.60606061	0.02706258788	0.0637904	0.424242	start
ctg1035_pilon:37262..41607	-49	42	1.12379	40	55.85	0.01627314	0.0464947	0.35	start
ctg1035_pilon:37262..41607	-48	37	0.821585	36	56.33333333	0.01281566389	0.0307576	0.416667	start
ctg1035_pilon:37262..41607	-47	42	0.820493	42	57.83333333	0.01184979048	0.0311057	0.380952	start
ctg1035_pilon:37262..41607	-46	46	0.811255	45	57.62222222	0.02399532444	0.0514186	0.466667	start
ctg1035_pilon:37262..41607	-45	39	0.705338	39	59.58974359	0.02748287436	0.0510396	0.538462	start
ctg1035_pilon:37262..41607	-44	40	0.700834	41	57.65853659	0.02680495854	0.0523335	0.512195	start
ctg1035_pilon:37262..41607	-43	42	0.814579	43	57.79069767	0.02602485581	0.0559534	0.465116	start
ctg1035_pilon:37262..41607	-42	45	0.900577	45	54.55555556	0.03372269333	0.0758761	0.444444	start
ctg1035_pilon:37262..41607	-41	38	0.874599	37	54.45945946	0.02357688919	0.0726954	0.324324	start
ctg1035_pilon:37262..41607	-40	38	0.849898	37	53.45945946	0.02418225405	0.0894743	0.27027	start
ctg1035_pilon:37262..41607	-39	31	0.677119	31	50.64516129	0.03436959355	0.0968598	0.354839	start
ctg1035_pilon:37262..41607	-38	30	0.649607	30	47.06666667	0.03951484667	0.0911881	0.433333	start
ctg1035_pilon:37262..41607	-37	21	0.479407	21	45.0952381	0.03653154286	0.0547973	0.666667	start
ctg1035_pilon:37262..41607	-36	30	0.675257	30	45	0.03491118	0.0498731	0.7	start
ctg1035_pilon:37262..41607	-35	25	0.603886	25	45.52	0.038414768	0.0457319	0.84	start
ctg1035_pilon:37262..41607	-34	23	0.580071	23	45.08695652	0.03958007391	0.0455171	0.869565	start
ctg1035_pilon:37262..41607	-33	32	0.808767	28	41.78571429	0.02555629286	0.0420927	0.607143	start
ctg1035_pilon:37262..41607	-32	62	1.30339	42	37.5952381	0.01832137619	0.0512999	0.357143	start
ctg1035_pilon:37262..41607	-31	55	1.29116	35	36.02857143	0.01572423429	0.0611498	0.257143	start
ctg1035_pilon:37262..41607	-30	55	1.51667	35	35.57142857	0.01353211714	0.0676606	0.2	start
ctg1035_pilon:37262..41607	-29	61	1.90625	41	39.43902439	0.009541407317	0.0651996	0.146341	start
ctg1035_pilon:37262..41607	-28	51	1.55001	35	42.91428571	0.01242852	0.0543748	0.228571	start
ctg1035_pilon:37262..41607	-27	25	0.945447	25	51.72	0.019882336	0.0451871	0.44	start
ctg1035_pilon:37262..41607	-26	31	1.08785	30	51.93333333	0.02306132333	0.0532184	0.433333	start
ctg1035_pilon:37262..41607	-25	33	0.988273	32	52.0625	0.02743618125	0.0516446	0.53125	start
ctg1035_pilon:37262..41607	-24	34	0.968306	33	50.42424242	0.02689845455	0.0467184	0.575758	start
ctg1035_pilon:37262..41607	-23	34	1.05768	33	48	0.03307381515	0.057444	0.575758	start
ctg1035_pilon:37262..41607	-22	31	0.860754	30	48.36666667	0.03475704667	0.0579284	0.6	start
ctg1035_pilon:37262..41607	-21	29	0.774273	29	47.27586207	0.03431494483	0.0497567	0.689655	start
ctg1035_pilon:37262..41607	-20	70	1.1135	25	47.24	0.032360612	0.0505635	0.64	start
ctg1035_pilon:37262..41607	-19	92	1.21238	23	52.30434783	0.02884218261	0.0552808	0.521739	start
ctg1035_pilon:37262..41607	-18	92	1.28981	23	54.73913043	0.02291224348	0.040537	0.565217	start
ctg1035_pilon:37262..41607	-17	89	1.57435	20	54.9	0.022210075	0.040382	0.55	start
ctg1035_pilon:37262..41607	-16	86	1.75203	17	56.82352941	0.01575824706	0.0297656	0.529412	start
ctg1035_pilon:37262..41607	-15	53	1.51097	29	51.62068966	0.03177364483	0.0658168	0.482759	start
ctg1035_pilon:37262..41607	-14	27	0.960995	27	46.62962963	0.0393347037	0.0624728	0.62963	start
ctg1035_pilon:37262..41607	-13	27	0.927457	27	45.62962963	0.03699631481	0.0665934	0.555556	start
ctg1035_pilon:37262..41607	-12	27	0.834812	27	45.92592593	0.0349387	0.0673818	0.518519	start
ctg1035_pilon:37262..41607	-11	33	0.860975	33	46.84848485	0.03639764848	0.092394	0.393939	start
ctg1035_pilon:37262..41607	-10	23	0.656226	23	48.52173913	0.02484288696	0.0634874	0.391304	start
ctg1035_pilon:37262..41607	-9	20	0.547369	20	48.55	0.027579925	0.0689498	0.4	start
ctg1035_pilon:37262..41607	-8	23	0.533533	22	49	0.02786159091	0.0766194	0.363636	start
ctg1035_pilon:37262..41607	-7	27	0.588811	26	49.30769231	0.02426200385	0.0700902	0.346154	start
ctg1035_pilon:37262..41607	-6	23	0.468862	22	51.13636364	0.02266555909	0.0498642	0.454545	start
ctg1035_pilon:37262..41607	-5	31	0.597118	29	54.89655172	0.01854689655	0.0448217	0.413793	start
ctg1035_pilon:37262..41607	-4	28	0.700876	26	55.96153846	0.01604025385	0.0417047	0.384615	start
ctg1035_pilon:37262..41607	-3	21	0.71841	20	58.25	0.014339725	0.0358493	0.4	start
ctg1035_pilon:37262..41607	-2	16	0.692428	15	61.13333333	0.01792916	0.0384196	0.466667	start
ctg1035_pilon:37262..41607	-1	10	0.897344	9	63.11111111	0.007003022222	0.0210091	0.333333	start
ctg1035_pilon:37262..41607	1	29	0.751269	28	75.89285714	0.1265031429	0.131188	0.964286	start
ctg1035_pilon:37262..41607	22	29	0.751269	28	75.89285714	0.1265031429	0.131188	0.964286	end
ctg1035_pilon:37262..41607	21	25	0.741614	24	81.33333333	0.1688540542	0.168854	1	end
ctg1035_pilon:37262..41607	2	25	0.741614	24	81.33333333	0.1688540542	0.168854	1	start
ctg1035_pilon:37262..41607	20	22	0.69858	22	86.36363636	0.1723265	0.172327	1	end
ctg1035_pilon:37262..41607	3	22	0.69858	22	86.36363636	0.1723265	0.172327	1	start
ctg1035_pilon:37262..41607	19	19	0.695445	18	85.94444444	0.1826699333	0.18267	1	end
ctg1035_pilon:37262..41607	4	19	0.695445	18	85.94444444	0.1826699333	0.18267	1	start
ctg1035_pilon:37262..41607	18	27	0.873079	25	87.64	0.182861712	0.182862	1	end
ctg1035_pilon:37262..41607	5	27	0.873079	25	87.64	0.182861712	0.182862	1	start
ctg1035_pilon:37262..41607	17	31	0.902117	29	90.20689655	0.1891789759	0.189179	1	end
ctg1035_pilon:37262..41607	6	31	0.902117	29	90.20689655	0.1891789759	0.189179	1	start
