group	r.squared	i
"Conserved methylation\namongst tubeworms"	0.726908101	27
"Conserved methylation\nacross families"	0.75472697	27
"Contrasting methylation\namongst tubeworms"	0.041545301	27
"Contrasting methylation\nacross families"	0.123101077	28
"Conserved methylation\namongst tubeworms"	0.75172164	28
"Conserved methylation\nacross families"	0.755582681	28
"Contrasting methylation\namongst tubeworms"	0.032179221	28
"Contrasting methylation\nacross families"	0.128697411	29
"Conserved methylation\namongst tubeworms"	0.731662001	29
"Conserved methylation\nacross families"	0.76018454	29
"Contrasting methylation\namongst tubeworms"	0.051323942	29
"Contrasting methylation\nacross families"	0.126850408	30
"Conserved methylation\nacross families"	0.75484444	30
"Conserved methylation\namongst tubeworms"	0.735584873	30
"Contrasting methylation\namongst tubeworms"	0.047289018	30
"Contrasting methylation\nacross families"	0.126429013	31
"Conserved methylation\namongst tubeworms"	0.727676133	31
"Conserved methylation\nacross families"	0.755704846	31
"Contrasting methylation\namongst tubeworms"	0.024504414	31
"Contrasting methylation\nacross families"	0.125563045	32
"Conserved methylation\nacross families"	0.76901444	32
"Conserved methylation\namongst tubeworms"	0.74437119	32
"Contrasting methylation\namongst tubeworms"	0.032045212	32
"Contrasting methylation\nacross families"	0.126256785	33
"Conserved methylation\namongst tubeworms"	0.728582406	33
"Conserved methylation\nacross families"	0.758080313	33
"Contrasting methylation\namongst tubeworms"	0.042458135	33
"Contrasting methylation\nacross families"	0.124477809	34
"Conserved methylation\namongst tubeworms"	0.743379142	34
"Conserved methylation\nacross families"	0.762890506	34
"Contrasting methylation\namongst tubeworms"	0.04211987	34
"Contrasting methylation\nacross families"	0.130212072	35
"Conserved methylation\namongst tubeworms"	0.729999806	35
"Conserved methylation\nacross families"	0.751224412	35
"Contrasting methylation\namongst tubeworms"	0.037655357	35
"Contrasting methylation\nacross families"	0.119025341	36
"Conserved methylation\namongst tubeworms"	0.747949347	36
"Conserved methylation\nacross families"	0.767253299	36
"Contrasting methylation\namongst tubeworms"	0.03715649	36
"Contrasting methylation\nacross families"	0.131336851	37
"Conserved methylation\namongst tubeworms"	0.737251382	37
"Conserved methylation\nacross families"	0.757637646	37
"Contrasting methylation\namongst tubeworms"	0.035267982	37
"Contrasting methylation\nacross families"	0.117960492	38
"Conserved methylation\namongst tubeworms"	0.725189026	38
"Conserved methylation\nacross families"	0.759943476	38
"Contrasting methylation\namongst tubeworms"	0.046762529	38
"Contrasting methylation\nacross families"	0.128711975	39
"Conserved methylation\namongst tubeworms"	0.734742969	39
"Conserved methylation\nacross families"	0.759387693	39
"Contrasting methylation\namongst tubeworms"	0.032635552	39
"Contrasting methylation\nacross families"	0.128351662	40
"Conserved methylation\namongst tubeworms"	0.723063391	40
"Conserved methylation\nacross families"	0.767256564	40
"Contrasting methylation\namongst tubeworms"	0.037456765	40
"Contrasting methylation\nacross families"	0.139021031	41
"Conserved methylation\nacross families"	0.759953391	41
"Conserved methylation\namongst tubeworms"	0.730724977	41
"Contrasting methylation\namongst tubeworms"	0.039200615	41
"Contrasting methylation\nacross families"	0.133653619	42
"Conserved methylation\namongst tubeworms"	0.730650163	42
"Conserved methylation\nacross families"	0.756143081	42
"Contrasting methylation\namongst tubeworms"	0.043350064	42
"Contrasting methylation\nacross families"	0.121516247	43
"Conserved methylation\namongst tubeworms"	0.74160881	43
"Conserved methylation\nacross families"	0.756670304	43
"Contrasting methylation\namongst tubeworms"	0.052444366	43
"Contrasting methylation\nacross families"	0.125846584	44
"Conserved methylation\namongst tubeworms"	0.726477826	44
"Conserved methylation\nacross families"	0.77136039	44
"Contrasting methylation\namongst tubeworms"	0.052722375	44
"Contrasting methylation\nacross families"	0.12259873	45
"Conserved methylation\namongst tubeworms"	0.742977582	45
"Conserved methylation\nacross families"	0.763155815	45
"Contrasting methylation\namongst tubeworms"	0.047036594	45
"Conserved methylation\namongst tubeworms"	0.74209113	46
"Conserved methylation\nacross families"	0.754439977	46
"Contrasting methylation\nacross families"	0.117782549	46
"Contrasting methylation\namongst tubeworms"	0.037203864	46
"Contrasting methylation\nacross families"	0.127538617	47
"Conserved methylation\namongst tubeworms"	0.721153068	47
"Conserved methylation\nacross families"	0.76883792	47
"Contrasting methylation\namongst tubeworms"	0.033726499	47
"Contrasting methylation\nacross families"	0.125159618	48
"Conserved methylation\namongst tubeworms"	0.7208003	48
"Conserved methylation\nacross families"	0.763921462	48
"Contrasting methylation\namongst tubeworms"	0.0380386	48
"Conserved methylation\namongst tubeworms"	0.735586271	49
"Conserved methylation\nacross families"	0.755354919	49
"Contrasting methylation\nacross families"	0.142987693	49
"Contrasting methylation\namongst tubeworms"	0.032713084	49
"Contrasting methylation\nacross families"	0.12726982	50
"Conserved methylation\namongst tubeworms"	0.726070021	50
"Conserved methylation\nacross families"	0.751100134	50
"Contrasting methylation\namongst tubeworms"	0.035671432	50
"Contrasting methylation\nacross families"	0.125619383	51
"Conserved methylation\namongst tubeworms"	0.732421677	51
"Conserved methylation\nacross families"	0.757100013	51
"Contrasting methylation\namongst tubeworms"	0.037617751	51
"Contrasting methylation\nacross families"	0.125029985	52
"Conserved methylation\namongst tubeworms"	0.730464802	52
"Conserved methylation\nacross families"	0.763911902	52
"Contrasting methylation\namongst tubeworms"	0.038293314	52
"Contrasting methylation\nacross families"	0.121403963	53
"Conserved methylation\namongst tubeworms"	0.738504212	53
"Conserved methylation\nacross families"	0.764455777	53
"Contrasting methylation\namongst tubeworms"	0.033330272	53
"Contrasting methylation\nacross families"	0.124971247	54
"Conserved methylation\namongst tubeworms"	0.743474565	54
"Conserved methylation\nacross families"	0.760971575	54
"Contrasting methylation\namongst tubeworms"	0.037651251	54
"Contrasting methylation\nacross families"	0.123678988	55
"Conserved methylation\namongst tubeworms"	0.744906288	55
"Conserved methylation\nacross families"	0.768682208	55
"Contrasting methylation\namongst tubeworms"	0.036650072	55
"Contrasting methylation\nacross families"	0.123681093	56
"Conserved methylation\namongst tubeworms"	0.729943239	56
"Conserved methylation\nacross families"	0.757800069	56
"Contrasting methylation\namongst tubeworms"	0.035405687	56
"Contrasting methylation\nacross families"	0.125228066	57
"Conserved methylation\nacross families"	0.765783748	57
"Conserved methylation\namongst tubeworms"	0.732857328	57
"Contrasting methylation\namongst tubeworms"	0.041626067	57
"Contrasting methylation\nacross families"	0.119730387	58
"Conserved methylation\nacross families"	0.751677124	58
"Conserved methylation\namongst tubeworms"	0.730936059	58
"Contrasting methylation\namongst tubeworms"	0.03250872	58
"Contrasting methylation\nacross families"	0.115036401	59
"Conserved methylation\namongst tubeworms"	0.729296676	59
"Conserved methylation\nacross families"	0.767235237	59
"Contrasting methylation\namongst tubeworms"	0.039613483	59
"Contrasting methylation\nacross families"	0.117317422	60
"Conserved methylation\namongst tubeworms"	0.748970808	60
"Conserved methylation\nacross families"	0.746232233	60
"Contrasting methylation\namongst tubeworms"	0.036122552	60
"Contrasting methylation\nacross families"	0.12492809	61
"Conserved methylation\namongst tubeworms"	0.738567629	61
"Conserved methylation\nacross families"	0.768874687	61
"Contrasting methylation\namongst tubeworms"	0.032814097	61
"Contrasting methylation\nacross families"	0.12297331	62
"Conserved methylation\namongst tubeworms"	0.742239403	62
"Conserved methylation\nacross families"	0.756908195	62
"Contrasting methylation\namongst tubeworms"	0.028925609	62
"Contrasting methylation\nacross families"	0.122472699	63
"Conserved methylation\namongst tubeworms"	0.75340798	63
"Conserved methylation\nacross families"	0.76641106	63
"Contrasting methylation\namongst tubeworms"	0.038141087	63
"Contrasting methylation\nacross families"	0.134946628	64
"Conserved methylation\nacross families"	0.757854249	64
"Conserved methylation\namongst tubeworms"	0.755882979	64
"Contrasting methylation\namongst tubeworms"	0.032837865	64
"Contrasting methylation\nacross families"	0.13323222	65
"Conserved methylation\namongst tubeworms"	0.744541814	65
"Conserved methylation\nacross families"	0.756293935	65
"Contrasting methylation\namongst tubeworms"	0.041252173	65
"Contrasting methylation\nacross families"	0.12958767	66
"Conserved methylation\namongst tubeworms"	0.737641384	66
"Conserved methylation\nacross families"	0.765278035	66
"Contrasting methylation\namongst tubeworms"	0.035383692	66
"Contrasting methylation\nacross families"	0.121241043	67
"Conserved methylation\namongst tubeworms"	0.725215662	67
"Conserved methylation\nacross families"	0.768467489	67
"Contrasting methylation\namongst tubeworms"	0.033650923	67
"Contrasting methylation\nacross families"	0.129843622	68
"Conserved methylation\namongst tubeworms"	0.726960302	68
"Conserved methylation\nacross families"	0.758163422	68
"Contrasting methylation\namongst tubeworms"	0.041110204	68
"Contrasting methylation\nacross families"	0.131352089	69
"Conserved methylation\namongst tubeworms"	0.733989527	69
"Conserved methylation\nacross families"	0.753096944	69
"Contrasting methylation\namongst tubeworms"	0.037486536	69
"Contrasting methylation\nacross families"	0.119506321	70
"Conserved methylation\namongst tubeworms"	0.730254015	70
"Conserved methylation\nacross families"	0.771477071	70
"Contrasting methylation\namongst tubeworms"	0.0330921	70
"Contrasting methylation\nacross families"	0.138065618	71
"Conserved methylation\namongst tubeworms"	0.757856065	71
"Conserved methylation\nacross families"	0.762912068	71
"Contrasting methylation\namongst tubeworms"	0.029770557	71
"Contrasting methylation\nacross families"	0.122820863	72
"Conserved methylation\namongst tubeworms"	0.720695175	72
"Conserved methylation\nacross families"	0.767822959	72
"Contrasting methylation\namongst tubeworms"	0.033623717	72
"Contrasting methylation\nacross families"	0.132445337	73
"Conserved methylation\namongst tubeworms"	0.739221652	73
"Conserved methylation\nacross families"	0.753743641	73
"Contrasting methylation\namongst tubeworms"	0.045110049	73
"Contrasting methylation\nacross families"	0.127459956	74
"Conserved methylation\namongst tubeworms"	0.756621319	74
"Conserved methylation\nacross families"	0.76172532	74
"Contrasting methylation\namongst tubeworms"	0.032485765	74
"Contrasting methylation\nacross families"	0.127667728	75
"Conserved methylation\namongst tubeworms"	0.742520707	75
"Conserved methylation\nacross families"	0.750623259	75
"Contrasting methylation\namongst tubeworms"	0.036897557	75
"Contrasting methylation\nacross families"	0.12484344	76
"Conserved methylation\namongst tubeworms"	0.754257097	76
"Conserved methylation\nacross families"	0.76962122	76
"Contrasting methylation\namongst tubeworms"	0.033886172	76
"Contrasting methylation\nacross families"	0.136515386	77
"Conserved methylation\namongst tubeworms"	0.74888355	77
"Conserved methylation\nacross families"	0.755363235	77
"Contrasting methylation\namongst tubeworms"	0.03588179	77
"Contrasting methylation\nacross families"	0.122994422	78
"Conserved methylation\namongst tubeworms"	0.741159324	78
"Conserved methylation\nacross families"	0.756133338	78
"Contrasting methylation\namongst tubeworms"	0.039707575	78
"Contrasting methylation\nacross families"	0.121736267	79
"Conserved methylation\namongst tubeworms"	0.744243276	79
"Conserved methylation\nacross families"	0.755997678	79
"Contrasting methylation\namongst tubeworms"	0.030030754	79
"Contrasting methylation\nacross families"	0.132229217	80
"Conserved methylation\namongst tubeworms"	0.733282632	80
"Conserved methylation\nacross families"	0.758001448	80
"Contrasting methylation\namongst tubeworms"	0.033694535	80
"Contrasting methylation\nacross families"	0.130997306	81
"Conserved methylation\namongst tubeworms"	0.738984302	81
"Conserved methylation\nacross families"	0.764444804	81
"Contrasting methylation\namongst tubeworms"	0.056599648	81
"Contrasting methylation\nacross families"	0.13059381	82
"Conserved methylation\namongst tubeworms"	0.749625623	82
"Conserved methylation\nacross families"	0.764176666	82
"Contrasting methylation\namongst tubeworms"	0.034241488	82
"Contrasting methylation\nacross families"	0.121716983	83
"Conserved methylation\namongst tubeworms"	0.74245594	83
"Conserved methylation\nacross families"	0.748706083	83
"Contrasting methylation\namongst tubeworms"	0.031147682	83
"Contrasting methylation\nacross families"	0.135190692	84
"Conserved methylation\namongst tubeworms"	0.737691109	84
"Conserved methylation\nacross families"	0.76850984	84
"Contrasting methylation\namongst tubeworms"	0.026784294	84
"Contrasting methylation\nacross families"	0.128346203	85
"Conserved methylation\namongst tubeworms"	0.737920041	85
"Conserved methylation\nacross families"	0.766455803	85
"Contrasting methylation\namongst tubeworms"	0.042509262	85
"Contrasting methylation\nacross families"	0.1308655	86
"Conserved methylation\namongst tubeworms"	0.73924718	86
"Conserved methylation\nacross families"	0.761110647	86
"Contrasting methylation\namongst tubeworms"	0.024371594	86
"Contrasting methylation\nacross families"	0.117157286	87
"Conserved methylation\namongst tubeworms"	0.719942932	87
"Conserved methylation\nacross families"	0.761825926	87
"Contrasting methylation\namongst tubeworms"	0.031265497	87
"Contrasting methylation\nacross families"	0.125379369	88
"Conserved methylation\nacross families"	0.757821863	88
"Conserved methylation\namongst tubeworms"	0.750690736	88
"Contrasting methylation\namongst tubeworms"	0.03892743	88
"Contrasting methylation\nacross families"	0.128350594	89
"Conserved methylation\namongst tubeworms"	0.738826185	89
"Conserved methylation\nacross families"	0.767023817	89
"Contrasting methylation\namongst tubeworms"	0.036855808	89
"Contrasting methylation\nacross families"	0.137712657	90
"Conserved methylation\namongst tubeworms"	0.72789851	90
"Conserved methylation\nacross families"	0.765861768	90
"Contrasting methylation\namongst tubeworms"	0.041013633	90
"Contrasting methylation\nacross families"	0.123947751	91
"Conserved methylation\namongst tubeworms"	0.721869368	91
"Conserved methylation\nacross families"	0.769891808	91
"Contrasting methylation\namongst tubeworms"	0.03660277	91
"Contrasting methylation\nacross families"	0.12894086	92
"Conserved methylation\namongst tubeworms"	0.730148108	92
"Conserved methylation\nacross families"	0.76836004	92
"Contrasting methylation\namongst tubeworms"	0.029658892	92
"Contrasting methylation\nacross families"	0.122929355	93
"Conserved methylation\namongst tubeworms"	0.742204253	93
"Conserved methylation\nacross families"	0.765304572	93
"Contrasting methylation\namongst tubeworms"	0.030941405	93
"Contrasting methylation\nacross families"	0.117441363	94
"Conserved methylation\namongst tubeworms"	0.745361433	94
"Conserved methylation\nacross families"	0.769884108	94
"Contrasting methylation\namongst tubeworms"	0.029580092	94
"Contrasting methylation\nacross families"	0.137636368	95
"Conserved methylation\namongst tubeworms"	0.737067461	95
"Conserved methylation\nacross families"	0.771044243	95
"Contrasting methylation\namongst tubeworms"	0.039420921	95
"Contrasting methylation\nacross families"	0.134467569	96
"Conserved methylation\namongst tubeworms"	0.732982064	96
"Conserved methylation\nacross families"	0.757994476	96
"Contrasting methylation\namongst tubeworms"	0.045752175	96
"Contrasting methylation\nacross families"	0.125165158	97
"Conserved methylation\namongst tubeworms"	0.743273241	97
"Conserved methylation\nacross families"	0.765298244	97
"Contrasting methylation\namongst tubeworms"	0.035768869	97
"Contrasting methylation\nacross families"	0.122589252	98
"Conserved methylation\namongst tubeworms"	0.730143384	98
"Conserved methylation\nacross families"	0.761961057	98
"Contrasting methylation\namongst tubeworms"	0.034829843	98
"Contrasting methylation\nacross families"	0.149632811	99
"Conserved methylation\nacross families"	0.763010734	99
"Conserved methylation\namongst tubeworms"	0.751313876	99
"Contrasting methylation\namongst tubeworms"	0.032522473	99
"Contrasting methylation\nacross families"	0.115947665	100
"Conserved methylation\namongst tubeworms"	0.724624561	100
"Conserved methylation\nacross families"	0.754824462	100
"Contrasting methylation\namongst tubeworms"	0.0313354	100
"Contrasting methylation\nacross families"	0.13209065	101
"Conserved methylation\namongst tubeworms"	0.752329719	101
"Conserved methylation\nacross families"	0.771692149	101
"Contrasting methylation\namongst tubeworms"	0.039126922	101
"Contrasting methylation\nacross families"	0.135148752	102
"Conserved methylation\namongst tubeworms"	0.733265276	102
"Conserved methylation\nacross families"	0.767712391	102
"Contrasting methylation\namongst tubeworms"	0.035951132	102
"Contrasting methylation\nacross families"	0.108575972	103
"Conserved methylation\nacross families"	0.75763453	103
"Conserved methylation\namongst tubeworms"	0.72758233	103
"Contrasting methylation\namongst tubeworms"	0.046197385	103
"Contrasting methylation\nacross families"	0.140213435	104
"Conserved methylation\namongst tubeworms"	0.725641981	104
"Conserved methylation\nacross families"	0.76084302	104
"Contrasting methylation\namongst tubeworms"	0.045562948	104
"Contrasting methylation\nacross families"	0.127628814	105
"Conserved methylation\namongst tubeworms"	0.736899142	105
"Conserved methylation\nacross families"	0.76925836	105
"Contrasting methylation\namongst tubeworms"	0.037338902	105
"Contrasting methylation\nacross families"	0.126962727	106
"Conserved methylation\namongst tubeworms"	0.733714839	106
"Conserved methylation\nacross families"	0.753132701	106
"Contrasting methylation\namongst tubeworms"	0.039882761	106
"Contrasting methylation\nacross families"	0.134835804	107
"Conserved methylation\namongst tubeworms"	0.731631601	107
"Conserved methylation\nacross families"	0.757786134	107
"Contrasting methylation\namongst tubeworms"	0.033854486	107
"Contrasting methylation\nacross families"	0.131494762	108
"Conserved methylation\nacross families"	0.764263122	108
"Conserved methylation\namongst tubeworms"	0.719638655	108
"Contrasting methylation\namongst tubeworms"	0.036829231	108
"Contrasting methylation\nacross families"	0.122240785	109
"Conserved methylation\namongst tubeworms"	0.727338201	109
"Conserved methylation\nacross families"	0.758250906	109
"Contrasting methylation\namongst tubeworms"	0.035862688	109
"Contrasting methylation\nacross families"	0.131109688	110
"Conserved methylation\namongst tubeworms"	0.756162253	110
"Conserved methylation\nacross families"	0.758826166	110
"Contrasting methylation\namongst tubeworms"	0.044444163	110
"Contrasting methylation\nacross families"	0.118903353	111
"Conserved methylation\nacross families"	0.765977169	111
"Conserved methylation\namongst tubeworms"	0.722655731	111
"Contrasting methylation\namongst tubeworms"	0.042106002	111
"Contrasting methylation\nacross families"	0.12929899	112
"Conserved methylation\namongst tubeworms"	0.736486976	112
"Conserved methylation\nacross families"	0.763276253	112
"Contrasting methylation\namongst tubeworms"	0.037807222	112
"Contrasting methylation\nacross families"	0.126302362	113
"Conserved methylation\namongst tubeworms"	0.73965827	113
"Conserved methylation\nacross families"	0.754239768	113
"Contrasting methylation\namongst tubeworms"	0.04213252	113
"Contrasting methylation\nacross families"	0.114575946	114
"Conserved methylation\namongst tubeworms"	0.745389213	114
"Conserved methylation\nacross families"	0.755565395	114
"Contrasting methylation\namongst tubeworms"	0.049340002	114
"Contrasting methylation\nacross families"	0.122504644	115
"Conserved methylation\namongst tubeworms"	0.738387018	115
"Conserved methylation\nacross families"	0.761693452	115
"Contrasting methylation\namongst tubeworms"	0.030777351	115
"Contrasting methylation\nacross families"	0.130221858	116
"Conserved methylation\nacross families"	0.761973366	116
"Conserved methylation\namongst tubeworms"	0.726325496	116
"Contrasting methylation\namongst tubeworms"	0.037760963	116
"Contrasting methylation\nacross families"	0.134028056	117
"Conserved methylation\namongst tubeworms"	0.725445053	117
"Conserved methylation\nacross families"	0.755373096	117
"Contrasting methylation\namongst tubeworms"	0.037045698	117
"Contrasting methylation\nacross families"	0.12904788	118
"Conserved methylation\namongst tubeworms"	0.745302888	118
"Conserved methylation\nacross families"	0.754599879	118
"Contrasting methylation\namongst tubeworms"	0.03827328	118
"Contrasting methylation\nacross families"	0.131273435	119
"Conserved methylation\namongst tubeworms"	0.734384433	119
"Conserved methylation\nacross families"	0.751329485	119
"Contrasting methylation\namongst tubeworms"	0.040445156	119
"Contrasting methylation\nacross families"	0.139364875	120
"Conserved methylation\namongst tubeworms"	0.745302734	120
"Conserved methylation\nacross families"	0.76305948	120
"Contrasting methylation\namongst tubeworms"	0.036007376	120
"Contrasting methylation\nacross families"	0.129906802	121
"Conserved methylation\namongst tubeworms"	0.741697281	121
"Conserved methylation\nacross families"	0.756707474	121
"Contrasting methylation\namongst tubeworms"	0.039425941	121
"Contrasting methylation\nacross families"	0.118687022	122
"Conserved methylation\namongst tubeworms"	0.745800661	122
"Conserved methylation\nacross families"	0.747028975	122
"Contrasting methylation\namongst tubeworms"	0.035919758	122
"Conserved methylation\namongst tubeworms"	0.747073816	123
"Conserved methylation\nacross families"	0.764372734	123
"Contrasting methylation\nacross families"	0.133272398	123
"Contrasting methylation\namongst tubeworms"	0.028922271	123
"Contrasting methylation\nacross families"	0.139824554	124
"Conserved methylation\namongst tubeworms"	0.73463975	124
"Conserved methylation\nacross families"	0.767894376	124
"Contrasting methylation\namongst tubeworms"	0.034554499	124
"Contrasting methylation\nacross families"	0.122406352	125
"Conserved methylation\nacross families"	0.762719322	125
"Conserved methylation\namongst tubeworms"	0.728955832	125
"Contrasting methylation\namongst tubeworms"	0.034928096	125
"Contrasting methylation\nacross families"	0.118900668	126
"Conserved methylation\namongst tubeworms"	0.736741289	126
"Conserved methylation\nacross families"	0.760928125	126
"Contrasting methylation\namongst tubeworms"	0.042637993	126
"Contrasting methylation\nacross families"	0.131012157	127
"Conserved methylation\namongst tubeworms"	0.733480812	127
"Conserved methylation\nacross families"	0.755678155	127
"Contrasting methylation\namongst tubeworms"	0.037605903	127
"Contrasting methylation\nacross families"	0.131589403	128
"Conserved methylation\namongst tubeworms"	0.739588028	128
"Conserved methylation\nacross families"	0.754180502	128
"Contrasting methylation\namongst tubeworms"	0.039526076	128
"Contrasting methylation\nacross families"	0.114203935	129
"Conserved methylation\namongst tubeworms"	0.736860542	129
"Conserved methylation\nacross families"	0.758101293	129
"Contrasting methylation\namongst tubeworms"	0.041559494	129
"Contrasting methylation\nacross families"	0.130088803	130
"Conserved methylation\namongst tubeworms"	0.728808172	130
"Conserved methylation\nacross families"	0.756894294	130
"Contrasting methylation\namongst tubeworms"	0.048753481	130
"Contrasting methylation\nacross families"	0.128952801	131
"Conserved methylation\namongst tubeworms"	0.743069985	131
"Conserved methylation\nacross families"	0.764134993	131
"Contrasting methylation\namongst tubeworms"	0.050209147	131
"Contrasting methylation\nacross families"	0.134150894	132
"Conserved methylation\namongst tubeworms"	0.713931609	132
"Conserved methylation\nacross families"	0.770924073	132
"Contrasting methylation\namongst tubeworms"	0.043277539	132
"Contrasting methylation\nacross families"	0.128954179	133
"Conserved methylation\namongst tubeworms"	0.725878881	133
"Conserved methylation\nacross families"	0.762568327	133
"Contrasting methylation\namongst tubeworms"	0.035259108	133
"Contrasting methylation\nacross families"	0.139031514	134
"Conserved methylation\nacross families"	0.760155828	134
"Conserved methylation\namongst tubeworms"	0.741571991	134
"Contrasting methylation\namongst tubeworms"	0.038596903	134
"Contrasting methylation\nacross families"	0.122824371	135
"Conserved methylation\namongst tubeworms"	0.73824822	135
"Conserved methylation\nacross families"	0.756166574	135
"Contrasting methylation\namongst tubeworms"	0.041019987	135
"Contrasting methylation\nacross families"	0.139598693	136
"Conserved methylation\namongst tubeworms"	0.734584255	136
"Conserved methylation\nacross families"	0.762978984	136
"Contrasting methylation\namongst tubeworms"	0.042968046	136
"Contrasting methylation\nacross families"	0.133007471	137
"Conserved methylation\nacross families"	0.750333772	137
"Conserved methylation\namongst tubeworms"	0.732893787	137
"Contrasting methylation\namongst tubeworms"	0.037883347	137
